i	f_sup	f_swg	f_swg_id	traj_params	h_max
6516	[-0.2933910522988832, 0.05626911716962252, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-384.00000000000017, 19.200000000000003]	0.24
6517	[-0.23339105229888316, 0.1562691171696225, 0.20000000298023224, 2.941592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6518	[-0.2933910522988831, 0.1562691171696225, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-384.00000000000017, 19.200000000000003]	0.24
6519	[-0.23339105229888316, 0.05626911716962252, 0.20000000298023224, 3.3415926535897933]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6520	[-0.23339105229888316, 0.1062691171696225, 0.20000000298023224, 3.3415926535897933]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-266.6666666666669, 16.000000000000007]	0.24
6521	[-0.23339105229888316, 0.1562691171696225, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6522	[-0.23339105229888316, 0.05626911716962252, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6523	[-0.23339105229888316, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-266.6666666666669, 16.000000000000007]	0.24
6524	[-0.23339105229888316, 0.1562691171696225, 0.20000000298023224, 3.3415926535897933]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6525	[-0.2933910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[-384.00000000000017, 19.200000000000003]	0.24
6526	[-0.2933910522988831, -0.0937308828303775, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[-384.00000000000017, 19.200000000000003]	0.24
6527	[-0.2933910522988831, 0.1562691171696225, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-384.00000000000017, 19.200000000000003]	0.24
6528	[-0.23339105229888316, 0.05626911716962252, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6529	[-0.23339105229888316, 0.1062691171696225, 0.20000000298023224, 2.941592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-266.6666666666669, 16.000000000000007]	0.24
6530	[-0.2933910522988832, 0.05626911716962252, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-384.00000000000017, 19.200000000000003]	0.24
6531	[-0.2933910522988831, -0.0937308828303775, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[-384.00000000000017, 19.200000000000003]	0.24
6532	[-0.23339105229888316, 0.1562691171696225, 0.20000000298023224, 2.941592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6533	[-0.23339105229888316, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-266.6666666666669, 16.000000000000007]	0.24
6534	[-0.23339105229888316, 0.1562691171696225, 0.20000000298023224, 3.3415926535897933]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6535	[-0.23339105229888316, 0.05626911716962252, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6536	[-0.23339105229888316, -0.0937308828303775, 0.20000000298023224, 2.941592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[-70.58823529411765, 8.231932086840425]	0.24
6537	[-0.2933910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[0]	0
6538	[-0.23339105229888316, -0.0937308828303775, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[-70.58823529411765, 8.231932086840425]	0.24
6539	[-0.2933910522988831, -0.0937308828303775, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[-96.00000000000004, 9.600000000000001]	0.24
6540	[-0.2933910522988831, 0.05626911716962252, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	Left	[-384.00000000000017, 19.200000000000003]	0.24
