i	f_sup	f_swg	f_swg_id	traj_params	h_max
6482	[-0.2933910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[-384.00000000000017, 19.200000000000003]	0.24
6483	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[0]	0
6484	[-0.23339105229888316, 0.05626911716962252, 0.20000000298023224, 3.3415926535897933]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6485	[-0.23339105229888316, 0.05626911716962252, 0.20000000298023224, 2.941592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6486	[-0.23339105229888316, 0.1562691171696225, 0.20000000298023224, 3.3415926535897933]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6487	[-0.23339105229888316, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-266.6666666666669, 16.000000000000007]	0.24
6488	[-0.23339105229888316, 0.1562691171696225, 0.20000000298023224, 2.941592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6489	[-0.23339105229888316, 0.1062691171696225, 0.20000000298023224, 3.3415926535897933]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-266.6666666666669, 16.000000000000007]	0.24
6490	[-0.23339105229888316, 0.1562691171696225, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6491	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[0]	0
6492	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[0]	0
6493	[-0.23339105229888316, 0.1062691171696225, 0.20000000298023224, 2.941592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-266.6666666666669, 16.000000000000007]	0.24
6494	[-0.23339105229888316, 0.05626911716962252, 0.20000000298023224, 2.941592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6495	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[0]	0
6496	[-0.2933910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[-384.00000000000017, 19.200000000000003]	0.24
6497	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988831, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[0]	0
6498	[-0.23339105229888316, 0.1562691171696225, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6499	[-0.2933910522988832, 0.05626911716962252, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-384.00000000000017, 19.200000000000003]	0.24
6500	[-0.23339105229888316, 0.05626911716962252, 0.20000000298023224, 3.3415926535897933]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
6501	[-0.23339105229888316, 0.1062691171696225, 0.20000000298023224, 3.3415926535897933]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-266.6666666666669, 16.000000000000007]	0.24
6502	[-0.23339105229888316, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-266.6666666666669, 16.000000000000007]	0.24
6503	[-0.2933910522988831, 0.1562691171696225, 0.20000000298023224, 3.141592653589793]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-384.00000000000017, 19.200000000000003]	0.24
6504	[-0.23339105229888316, 0.1562691171696225, 0.20000000298023224, 3.3415926535897933]	[-0.2933910522988832, -0.1437308828303775, 0.20000000298023224, 3.141592653589793]	Left	[-157.377049180328, 12.291540473558019]	0.24
