i	f_sup	f_swg	f_swg_id	traj_h
1598	[-0.5288403308024526, -1.1207226091886842, 0.0020500000937317964, -1.4292036732051032]	[-0.7943320734720424, -0.9710091008660737, 0.0020500000937317964, -1.2292036732051033]	Right	0.02
1599	[-0.776338454952564, -1.156002611203651, 0.0020500000937317964, -1.2292036732051033]	[-0.5288403308024526, -1.1207226091886842, 0.0020500000937317964, -1.4292036732051032]	Left	0.02
1600	[-0.8060812786542048, -1.3016575611307069, 0.0020500000937317964, -1.4292036732051032]	[-0.5288403308024526, -1.1207226091886842, 0.0020500000937317964, -1.4292036732051032]	Left	0.02
1601	[-0.5175507301576632, -1.19992200891672, 0.0020500000937317964, -1.6292036732051032]	[-0.8060812786542048, -1.3016575611307069, 0.0020500000937317964, -1.4292036732051032]	Right	0.02
1602	[-0.8252115429759502, -1.3221710344997115, 0.0020500000937317964, -1.4292036732051032]	[-0.5175507301576632, -1.19992200891672, 0.0020500000937317964, -1.6292036732051032]	Left	0.02
1603	[-0.775316346521914, -1.0996108198614205, 0.0020500000937317964, -0.8292036732051034]	[-0.6538844051075408, -0.816495501299644, 0.0020500000937317964, -1.0292036732051033]	Left	0.02
1604	[-0.5062542309144576, -1.0972490525486145, 0.0020500000937317964, -0.8292036732051034]	[-0.775316346521914, -1.0996108198614205, 0.0020500000937317964, -0.8292036732051034]	Right	0.02
1605	[-0.9628293934571063, -0.8193563687875614, 0.0020500000937317964, -1.0292036732051033]	[-0.8430017799654632, -0.6305672190863737, 0.0020500000937317964, -1.0292036732051033]	Left	0.02
1606	[-0.7057627674464222, -0.664705957241122, 0.0020500000937317964, -0.8292036732051034]	[-0.9628293934571063, -0.8193563687875614, 0.0020500000937317964, -1.0292036732051033]	Right	0.02
1607	[-0.6542126302642757, -0.7503948325780168, 0.0020500000937317964, -0.8292036732051034]	[-0.9628293934571063, -0.8193563687875614, 0.0020500000937317964, -1.0292036732051033]	Right	0.02
1608	[-0.7439962138724259, -1.0224957478915788, 0.0020500000937317964, -0.6292036732051034]	[-0.6542126302642757, -0.7503948325780168, 0.0020500000937317964, -0.8292036732051034]	Left	0.02
1609	[-0.42191652600829593, -0.885877027851664, 0.0020500000937317964, -0.4292036732051034]	[-0.7439962138724259, -1.0224957478915788, 0.0020500000937317964, -0.6292036732051034]	Right	0.02
1610	[-0.7071265280953636, -0.9887225888640213, 0.0020500000937317964, -0.6292036732051034]	[-0.6542126302642757, -0.7503948325780168, 0.0020500000937317964, -0.8292036732051034]	Left	0.02
1611	[-0.8570726218829883, -0.46715971801089673, 0.0020500000937317964, -0.8292036732051034]	[-1.145837054600477, -0.5960593006221174, 0.0020500000937317964, -0.8292036732051034]	Right	0.02
1612	[-0.9567073640461548, -0.8025295409736661, 0.0020500000937317964, -0.8292036732051034]	[-0.8570726218829883, -0.46715971801089673, 0.0020500000937317964, -0.8292036732051034]	Left	0.02
