i	f_sup	f_swg	f_swg_id	traj_params	h_max
0	[-2.6, 2, 0.000205, 1.5707963267948966]	[-2.4, 2, 0.000205, 1.5707963267948966]	Right	None
1	[-2.3000000000000003, 2.0, 0.0020500000937317964, 1.7707963267948965]	[-2.6, 2, 0.000205, 1.5707963267948966]	Left	0.02
2	[-2.545016644460311, 1.9503326673012347, 0.0020500000937317964, 1.7707963267948965]	[-2.3000000000000003, 2.0, 0.0020500000937317964, 1.7707963267948965]	Right	0.02
3	[-2.360923488739766, 2.0488705281307213, 0.0020500000937317964, 1.7707963267948965]	[-2.545016644460311, 1.9503326673012347, 0.0020500000937317964, 1.7707963267948965]	Left	0.02
4	[-2.6907039416352494, 2.1656817129036265, 0.0020500000937317964, 1.9707963267948965]	[-2.360923488739766, 2.0488705281307213, 0.0020500000937317964, 1.7707963267948965]	Right	0.02
5	[-2.5039518621653736, 2.4943512442168854, 0.0020500000937317964, 1.7707963267948965]	[-2.6907039416352494, 2.1656817129036265, 0.0020500000937317964, 1.9707963267948965]	Left	0.02
6	[-2.794662452708548, 2.6700992244216057, 0.0020500000937317964, 1.7707963267948965]	[-2.5039518621653736, 2.4943512442168854, 0.0020500000937317964, 1.7707963267948965]	Right	0.02
7	[-2.5774595145595462, 2.8569758780181447, 0.0020500000937317964, 1.5707963267948966]	[-2.794662452708548, 2.6700992244216057, 0.0020500000937317964, 1.7707963267948965]	Left	0.02
8	[-2.877459514559546, 2.8569758780181447, 0.0020500000937317964, 1.7707963267948965]	[-2.5774595145595462, 2.8569758780181447, 0.0020500000937317964, 1.5707963267948966]	Right	0.02
9	[-2.6781368161820995, 3.1320585236203957, 0.10000000149011612, 1.7707963267948965]	[-2.877459514559546, 2.8569758780181447, 0.0020500000937317964, 1.7707963267948965]	Left	0.152
10	[-2.9198440778332118, 3.317739970364869, 0.10000000149011612, 1.5707963267948966]	[-2.6781368161820995, 3.1320585236203957, 0.10000000149011612, 1.7707963267948965]	Right	0.152
11	[-2.6698440778332118, 3.257739970364869, 0.10000000149011612, 1.3707963267948966]	[-2.9198440778332118, 3.317739970364869, 0.10000000149011612, 1.5707963267948966]	Left	0.02
12	[-2.845990460321954, 3.3954804943080052, 0.10000000149011612, 1.5707963267948966]	[-2.6698440778332118, 3.257739970364869, 0.10000000149011612, 1.3707963267948966]	Right	0.02
13	[-2.545990460321954, 3.335480494308005, 0.10000000149011612, 1.3707963267948966]	[-2.845990460321954, 3.3954804943080052, 0.10000000149011612, 1.5707963267948966]	Left	0.02
14	[-2.7221368428106962, 3.4732210182511416, 0.10000000149011612, 1.1707963267948966]	[-2.545990460321954, 3.335480494308005, 0.10000000149011612, 1.3707963267948966]	Right	0.02
15	[-2.45292976007911, 3.4679725320742674, 0.10000000149011612, 1.3707963267948966]	[-2.7221368428106962, 3.4732210182511416, 0.10000000149011612, 1.1707963267948966]	Left	0.02
