i	f_sup	f_swg	f_swg_id	traj_h
18	[3.3822350926484943, -0.15768246226633556, 0.0020500000937317964, 3.7415926535897936]	[3.4048551014700514, -0.3652597616054316, 0.0020500000937317964, 3.5415926535897935]	Left	0.02
19	[3.2869799015420815, -0.03510004685824886, 0.0020500000937317964, 3.5415926535897935]	[3.45906906387485, -0.28805324452059533, 0.0020500000937317964, 3.5415926535897935]	Left	0.02
20	[3.364863570003812, -0.21931224565882587, 0.0020500000937317964, 3.3415926535897933]	[3.2869799015420815, -0.03510004685824886, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
21	[3.2696083788973986, -0.09672983025073917, 0.0020500000937317964, 3.5415926535897935]	[3.45906906387485, -0.28805324452059533, 0.0020500000937317964, 3.5415926535897935]	Left	0.02
22	[3.4222266241147343, -0.30362997821294135, 0.0020500000937317964, 3.7415926535897936]	[3.2696083788973986, -0.09672983025073917, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
23	[3.3117934756759824, -0.2158735997398292, 0.0020500000937317964, 3.141592653589793]	[3.4974749224204555, 0.025833661911283223, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
24	[3.4784047939089935, -0.18209981350466878, 0.0020500000937317964, 3.141592653589793]	[3.4974749224204555, 0.025833661911283223, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
25	[3.3384047939089934, 0.06790018649533122, 0.0020500000937317964, 2.941592653589793]	[3.4784047939089935, -0.18209981350466878, 0.0020500000937317964, 3.141592653589793]	Left	0.02
26	[3.4784047939089935, -0.18209981350466878, 0.0020500000937317964, 3.3415926535897933]	[3.4974749224204555, 0.025833661911283223, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
27	[3.3117934756759824, -0.2158735997398292, 0.0020500000937317964, 3.3415926535897933]	[3.4974749224204555, 0.025833661911283223, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
28	[3.3406642699658566, -0.005953431015926575, 0.0020500000937317964, 3.141592653589793]	[3.4883382604487463, -0.23110314239673085, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
29	[3.3798669330795064, 0.001993342215875882, 0.0020500000937317964, 3.141592653589793]	[3.4883382604487463, -0.23110314239673085, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
30	[3.3798669330795064, -0.2980066577841241, 0.0020500000937317964, 2.941592653589793]	[3.3798669330795064, 0.001993342215875882, 0.0020500000937317964, 3.141592653589793]	Right	0.02
31	[3.1544516201760207, -0.04370060386698821, 0.0020500000937317964, 3.3415926535897933]	[3.4196007992385185, -0.19401997335237245, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
32	[3.0376404354031155, -0.3734810567624717, 0.0020500000937317964, 3.3415926535897933]	[3.1544516201760207, -0.04370060386698821, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
33	[2.9291691080338755, -0.14038457214986494, 0.0020500000937317964, 3.5415926535897935]	[3.0376404354031155, -0.3734810567624717, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
34	[2.8341505821058073, -0.5062690890817201, 0.0020500000937317964, 3.3415926535897933]	[2.9291691080338755, -0.14038457214986494, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
35	[2.637340461969515, -0.2400628220406562, 0.0020500000937317964, 3.3415926535897933]	[2.8341505821058073, -0.5062690890817201, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
36	[2.676543125083165, -0.23211604880885373, 0.0020500000937317964, 3.141592653589793]	[2.8341505821058073, -0.5062690890817201, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
37	[2.676543125083165, -0.4821160488088537, 0.0020500000937317964, 3.3415926535897933]	[2.676543125083165, -0.23211604880885373, 0.0020500000937317964, 3.141592653589793]	Right	0.02
38	[2.616543125083165, -0.4821160488088537, 0.0020500000937317964, 3.141592653589793]	[2.676543125083165, -0.23211604880885373, 0.0020500000937317964, 3.141592653589793]	Right	0.02
39	[2.676543125083165, -0.18211604880885374, 0.0020500000937317964, 3.141592653589793]	[2.616543125083165, -0.4821160488088537, 0.0020500000937317964, 3.141592653589793]	Left	0.02
40	[2.880032978380473, -0.09932801648960532, 0.0020500000937317964, 3.141592653589793]	[3.0376404354031155, -0.3734810567624717, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
41	[2.650032978380473, -0.3493280164896053, 0.0020500000937317964, 3.141592653589793]	[2.880032978380473, -0.09932801648960532, 0.0020500000937317964, 3.141592653589793]	Right	0.02
42	[2.780032978380473, -0.29932801648960533, 0.0020500000937317964, 3.3415926535897933]	[2.880032978380473, -0.09932801648960532, 0.0020500000937317964, 3.141592653589793]	Right	0.02
43	[2.940032978380473, -0.29932801648960533, 0.0020500000937317964, 3.3415926535897933]	[2.880032978380473, -0.09932801648960532, 0.0020500000937317964, 3.141592653589793]	Right	0.02
44	[2.820032978380473, -0.29932801648960533, 0.0020500000937317964, 3.3415926535897933]	[2.880032978380473, -0.09932801648960532, 0.0020500000937317964, 3.141592653589793]	Right	0.02
45	[2.819236173812429, 0.0066121167104707945, 0.0020500000937317964, 3.3415926535897933]	[2.820032978380473, -0.29932801648960533, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
46	[2.6434881936077086, -0.2840984738327037, 0.0020500000937317964, 3.5415926535897935]	[2.819236173812429, 0.0066121167104707945, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
47	[2.780032978380473, -0.3493280164896053, 0.0020500000937317964, 3.3415926535897933]	[2.880032978380473, -0.09932801648960532, 0.0020500000937317964, 3.141592653589793]	Right	0.02
48	[2.700032978380473, -0.3493280164896053, 0.0020500000937317964, 3.141592653589793]	[2.880032978380473, -0.09932801648960532, 0.0020500000937317964, 3.141592653589793]	Right	0.02
49	[2.5200329783804727, -0.09932801648960532, 0.0020500000937317964, 3.141592653589793]	[2.700032978380473, -0.3493280164896053, 0.0020500000937317964, 3.141592653589793]	Left	0.02
50	[2.700032978380473, -0.09932801648960532, 0.0020500000937317964, 3.141592653589793]	[2.700032978380473, -0.3493280164896053, 0.0020500000937317964, 3.141592653589793]	Left	0.02
51	[2.640032978380473, -0.29932801648960533, 0.0020500000937317964, 3.141592653589793]	[2.700032978380473, -0.09932801648960532, 0.0020500000937317964, 3.141592653589793]	Right	0.02
52	[2.5400329783804727, -0.04932801648960533, 0.0020500000937317964, 3.141592653589793]	[2.640032978380473, -0.29932801648960533, 0.0020500000937317964, 3.141592653589793]	Left	0.02
53	[2.4600329783804726, 0.0006719835103946581, 0.0020500000937317964, 3.141592653589793]	[2.640032978380473, -0.29932801648960533, 0.0020500000937317964, 3.141592653589793]	Left	0.02
54	[2.4600329783804726, -0.24932801648960534, 0.0020500000937317964, 3.3415926535897933]	[2.4600329783804726, 0.0006719835103946581, 0.0020500000937317964, 3.141592653589793]	Right	0.02
55	[2.3515616510112327, -0.016231531876998606, 0.0020500000937317964, 3.3415926535897933]	[2.4600329783804726, -0.24932801648960534, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
56	[2.2739531293519772, -0.33806521154067964, 0.0020500000937317964, 3.141592653589793]	[2.3515616510112327, -0.016231531876998606, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
57	[2.2248169996985747, -0.29700865588042, 0.0020500000937317964, 3.5415926535897935]	[2.3515616510112327, -0.016231531876998606, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
58	[2.264019662812224, -0.2890618826486176, 0.0020500000937317964, 3.141592653589793]	[2.3515616510112327, -0.016231531876998606, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
59	[2.124019662812224, 0.010938117351382393, 0.0020500000937317964, 2.941592653589793]	[2.264019662812224, -0.2890618826486176, 0.0020500000937317964, 3.141592653589793]	Left	0.02
60	[2.4500995118407194, -0.20032468759754327, 0.0020500000937317964, 3.141592653589793]	[2.3515616510112327, -0.016231531876998606, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
61	[2.760032978380473, -0.09932801648960532, 0.0020500000937317964, 2.941592653589793]	[2.700032978380473, -0.3493280164896053, 0.0020500000937317964, 3.141592653589793]	Left	0.02
62	[2.543887128210037, -0.2595808525147426, 0.0020500000937317964, 3.141592653589793]	[2.760032978380473, -0.09932801648960532, 0.0020500000937317964, 2.941592653589793]	Right	0.02
63	[2.403887128210037, -0.00958085251474261, 0.0020500000937317964, 3.141592653589793]	[2.543887128210037, -0.2595808525147426, 0.0020500000937317964, 3.141592653589793]	Left	0.02
64	[2.443887128210037, -0.00958085251474261, 0.0020500000937317964, 2.941592653589793]	[2.543887128210037, -0.2595808525147426, 0.0020500000937317964, 3.141592653589793]	Left	0.02
65	[2.462957256721499, -0.21751432793069464, 0.0020500000937317964, 2.941592653589793]	[2.443887128210037, -0.00958085251474261, 0.0020500000937317964, 2.941592653589793]	Right	0.02
66	[2.4046844650963872, -0.001634079282940154, 0.0020500000937317964, 2.941592653589793]	[2.462957256721499, -0.21751432793069464, 0.0020500000937317964, 2.941592653589793]	Left	0.02
67	[2.98797310270435, -0.12846441230216127, 0.0020500000937317964, 3.5415926535897935]	[3.0376404354031155, -0.3734810567624717, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
68	[3.0495349457567724, -0.4281478110415458, 0.0020500000937317964, 3.7415926535897936]	[2.98797310270435, -0.12846441230216127, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
69	[3.1211204308062532, -0.2893115105642192, 0.0020500000937317964, 3.5415926535897935]	[2.98797310270435, -0.12846441230216127, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
70	[2.900065792245561, -0.3827719127182954, 0.0020500000937317964, 3.7415926535897936]	[2.98797310270435, -0.12846441230216127, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
71	[2.643358187809447, -0.2554879552661809, 0.0020500000937317964, 3.941592653589794]	[2.900065792245561, -0.3827719127182954, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
72	[2.676371612405834, -0.23290225633037948, 0.0020500000937317964, 3.941592653589794]	[2.900065792245561, -0.3827719127182954, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
73	[2.569077982467576, -0.3063057778717341, 0.0020500000937317964, 3.941592653589794]	[2.900065792245561, -0.3827719127182954, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
74	[2.7842848097374326, -0.5153177906758836, 0.0020500000937317964, 3.7415926535897936]	[2.569077982467576, -0.3063057778717341, 0.0020500000937317964, 3.941592653589794]	Right	0.02
75	[2.527577205301319, -0.38803383322376905, 0.0020500000937317964, 3.7415926535897936]	[2.7842848097374326, -0.5153177906758836, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
76	[2.647449810425249, -0.6695130661003746, 0.0020500000937317964, 3.7415926535897936]	[2.527577205301319, -0.38803383322376905, 0.0020500000937317964, 3.7415926535897936]	Right	0.02
77	[2.418974329658887, -0.5834958893937441, 0.0020500000937317964, 3.5415926535897935]	[2.647449810425249, -0.6695130661003746, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
78	[2.560590629897706, -0.36544813428796763, 0.0020500000937317964, 3.941592653589794]	[2.7842848097374326, -0.5153177906758836, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
79	[2.6150102613388775, -0.5460769724671003, 0.0020500000937317964, 4.141592653589794]	[2.569077982467576, -0.3063057778717341, 0.0020500000937317964, 3.941592653589794]	Right	0.02
80	[2.4046425151369033, -0.4110013960000655, 0.0020500000937317964, 3.941592653589794]	[2.6150102613388775, -0.5460769724671003, 0.0020500000937317964, 4.141592653589794]	Left	0.02
81	[2.5523066574976325, -0.6106390206480574, 0.0020500000937317964, 4.141592653589794]	[2.569077982467576, -0.3063057778717341, 0.0020500000937317964, 3.941592653589794]	Right	0.02
82	[2.2026109469989983, -0.6000131061530372, 0.0020500000937317964, 4.341592653589794]	[2.5523066574976325, -0.6106390206480574, 0.0020500000937317964, 4.141592653589794]	Left	0.02
83	[2.431492587162432, -0.8392059045314507, 0.0020500000937317964, 4.141592653589794]	[2.2026109469989983, -0.6000131061530372, 0.0020500000937317964, 4.341592653589794]	Right	0.02
84	[2.1466331533679748, -0.7276034718594828, 0.0020500000937317964, 3.941592653589794]	[2.431492587162432, -0.8392059045314507, 0.0020500000937317964, 4.141592653589794]	Left	0.02
85	[2.2631983902008526, -0.7311454433578228, 0.0020500000937317964, 4.341592653589794]	[2.431492587162432, -0.8392059045314507, 0.0020500000937317964, 4.141592653589794]	Left	0.02
86	[2.3988761217675636, -0.9341024662885691, 0.0020500000937317964, 4.141592653589794]	[2.2631983902008526, -0.7311454433578228, 0.0020500000937317964, 4.341592653589794]	Right	0.02
87	[2.4133704319466305, -0.89682090284988, 0.0020500000937317964, 4.341592653589794]	[2.2631983902008526, -0.7311454433578228, 0.0020500000937317964, 4.341592653589794]	Right	0.02
88	[2.176232529126451, -0.9548348239899572, 0.0020500000937317964, 4.341592653589794]	[2.4133704319466305, -0.89682090284988, 0.0020500000937317964, 4.341592653589794]	Left	0.02
89	[2.3906198591108176, -1.23130918580706, 0.0020500000937317964, 4.541592653589794]	[2.176232529126451, -0.9548348239899572, 0.0020500000937317964, 4.341592653589794]	Right	0.02
90	[2.4341027896480183, -1.1194644954909927, 0.0020500000937317964, 4.341592653589794]	[2.176232529126451, -0.9548348239899572, 0.0020500000937317964, 4.341592653589794]	Right	0.02
91	[2.083028620529728, -0.91859904854229, 0.0020500000937317964, 4.341592653589794]	[2.4133704319466305, -0.89682090284988, 0.0020500000937317964, 4.341592653589794]	Left	0.02
92	[2.1860941541935386, -1.2054395892100866, 0.0020500000937317964, 4.541592653589794]	[2.083028620529728, -0.91859904854229, 0.0020500000937317964, 4.341592653589794]	Right	0.02
93	[1.999202236769861, -1.112319176830731, 0.0020500000937317964, 4.7415926535897945]	[2.1860941541935386, -1.2054395892100866, 0.0020500000937317964, 4.541592653589794]	Left	0.02
94	[2.259742930186381, -0.6961168859802459, 0.0020500000937317964, 3.941592653589794]	[2.5523066574976325, -0.6106390206480574, 0.0020500000937317964, 4.141592653589794]	Left	0.02
95	[2.313674745228772, -0.9994176596789514, 0.0020500000937317964, 3.941592653589794]	[2.259742930186381, -0.6961168859802459, 0.0020500000937317964, 3.941592653589794]	Right	0.02
96	[2.2778069406837957, -0.9645823242115931, 0.0020500000937317964, 3.7415926535897936]	[2.259742930186381, -0.6961168859802459, 0.0020500000937317964, 3.941592653589794]	Right	0.02
97	[1.99286721257793, -0.7960315860139946, 0.0020500000937317964, 3.941592653589794]	[2.2778069406837957, -0.9645823242115931, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
98	[2.011963692152963, -1.1352001642576761, 0.0020500000937317964, 3.941592653589794]	[1.99286721257793, -0.7960315860139946, 0.0020500000937317964, 3.941592653589794]	Right	0.02
99	[1.798821803038342, -1.0675944314781953, 0.0020500000937317964, 4.141592653589794]	[2.011963692152963, -1.1352001642576761, 0.0020500000937317964, 3.941592653589794]	Left	0.02
100	[1.7908222668672524, -1.0040648523748563, 0.0020500000937317964, 3.7415926535897936]	[2.011963692152963, -1.1352001642576761, 0.0020500000937317964, 3.941592653589794]	Left	0.02
101	[2.208074039847787, -1.005043598818144, 0.0020500000937317964, 4.141592653589794]	[1.99286721257793, -0.7960315860139946, 0.0020500000937317964, 3.941592653589794]	Right	0.02
102	[1.9425254278299429, -1.0484479149099377, 0.0020500000937317964, 3.941592653589794]	[2.208074039847787, -1.005043598818144, 0.0020500000937317964, 4.141592653589794]	Left	0.02
103	[2.3415430136026587, -0.9707234160429704, 0.0020500000937317964, 3.7415926535897936]	[2.259742930186381, -0.6961168859802459, 0.0020500000937317964, 3.941592653589794]	Right	0.02
104	[2.08961671009318, -0.7795869789095706, 0.0020500000937317964, 3.5415926535897935]	[2.3415430136026587, -0.9707234160429704, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
105	[2.2499025321484805, -0.7305109639118488, 0.0020500000937317964, 3.5415926535897935]	[2.3415430136026587, -0.9707234160429704, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
106	[2.1354130891049796, -1.0503424311435596, 0.0020500000937317964, 3.3415926535897933]	[2.2499025321484805, -0.7305109639118488, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
107	[2.0857457564062143, -0.8053257866832493, 0.0020500000937317964, 3.3415926535897933]	[2.1354130891049796, -1.0503424311435596, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
108	[2.0666756278947522, -1.0132592620992014, 0.0020500000937317964, 3.3415926535897933]	[2.0857457564062143, -0.8053257866832493, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
109	[1.8405963111845633, -0.804003097182002, 0.0020500000937317964, 3.5415926535897935]	[2.0666756278947522, -1.0132592620992014, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
110	[1.9681377670652656, -0.8291661063786567, 0.0020500000937317964, 3.5415926535897935]	[2.0666756278947522, -1.0132592620992014, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
111	[1.8306628446448103, -0.7549997682899399, 0.0020500000937317964, 3.5415926535897935]	[2.0666756278947522, -1.0132592620992014, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
112	[2.218308578565239, -1.0152947803357812, 0.0020500000937317964, 3.7415926535897936]	[2.2499025321484805, -0.7305109639118488, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
113	[1.9285875495327383, -0.9105965218194682, 0.0020500000937317964, 3.941592653589794]	[2.218308578565239, -1.0152947803357812, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
114	[1.9663822750557607, -0.8241583432023813, 0.0020500000937317964, 3.941592653589794]	[2.218308578565239, -1.0152947803357812, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
115	[2.0123145539270624, -1.0639295377977476, 0.0020500000937317964, 4.141592653589794]	[1.9663822750557607, -0.8241583432023813, 0.0020500000937317964, 3.941592653589794]	Right	0.02
116	[1.9285875495327383, -0.9105965218194682, 0.0020500000937317964, 3.5415926535897935]	[2.218308578565239, -1.0152947803357812, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
117	[2.0617348776346414, -1.071443620081526, 0.0020500000937317964, 3.5415926535897935]	[1.9285875495327383, -0.9105965218194682, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
118	[2.0391148688130842, -0.86386632074243, 0.0020500000937317964, 3.5415926535897935]	[2.0617348776346414, -1.071443620081526, 0.0020500000937317964, 3.5415926535897935]	Left	0.02
119	[1.8159608357816421, -0.8496438898038716, 0.0020500000937317964, 3.5415926535897935]	[2.0617348776346414, -1.071443620081526, 0.0020500000937317964, 3.5415926535897935]	Left	0.02
120	[2.8366574344611344, -0.18382624133265765, 0.0020500000937317964, 3.941592653589794]	[2.900065792245561, -0.3827719127182954, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
121	[3.0577988597468453, -0.31496155321547753, 0.0020500000937317964, 4.141592653589794]	[2.8366574344611344, -0.18382624133265765, 0.0020500000937317964, 3.941592653589794]	Right	0.02
122	[2.793400882958057, -0.2640330752292325, 0.0020500000937317964, 3.941592653589794]	[3.0577988597468453, -0.31496155321547753, 0.0020500000937317964, 4.141592653589794]	Left	0.02
123	[2.867201430203245, -0.4751100261886178, 0.0020500000937317964, 3.941592653589794]	[2.793400882958057, -0.2640330752292325, 0.0020500000937317964, 3.941592653589794]	Right	0.02
124	[3.050410112788744, -0.4300037225794106, 0.0020500000937317964, 3.7415926535897936]	[2.793400882958057, -0.2640330752292325, 0.0020500000937317964, 3.941592653589794]	Right	0.02
125	[2.8597293575454046, -0.2575483672556932, 0.0020500000937317964, 3.5415926535897935]	[3.050410112788744, -0.4300037225794106, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
126	[2.792250247729001, -0.35836586930727116, 0.0020500000937317964, 4.341592653589794]	[3.0577988597468453, -0.31496155321547753, 0.0020500000937317964, 4.141592653589794]	Left	0.02
127	[3.000399530191047, -0.3749150750445721, 0.0020500000937317964, 4.141592653589794]	[2.792250247729001, -0.35836586930727116, 0.0020500000937317964, 4.341592653589794]	Right	0.02
128	[2.7900317839890727, -0.23983949857753734, 0.0020500000937317964, 3.941592653589794]	[3.000399530191047, -0.3749150750445721, 0.0020500000937317964, 4.141592653589794]	Left	0.02
129	[2.913433669116645, -0.5986044556767065, 0.0020500000937317964, 4.341592653589794]	[2.792250247729001, -0.35836586930727116, 0.0020500000937317964, 4.341592653589794]	Right	0.02
130	[2.956916599653846, -0.4867597653606393, 0.0020500000937317964, 4.341592653589794]	[2.792250247729001, -0.35836586930727116, 0.0020500000937317964, 4.341592653589794]	Right	0.02
131	[2.913433669116645, -0.5986044556767065, 0.0020500000937317964, 4.541592653589794]	[2.792250247729001, -0.35836586930727116, 0.0020500000937317964, 4.341592653589794]	Right	0.02
132	[2.716343723118953, -0.5646110270966586, 0.0020500000937317964, 4.7415926535897945]	[2.913433669116645, -0.5986044556767065, 0.0020500000937317964, 4.541592653589794]	Left	0.02
133	[2.918010415065331, -0.6187455388188908, 0.0020500000937317964, 4.7415926535897945]	[2.716343723118953, -0.5646110270966586, 0.0020500000937317964, 4.7415926535897945]	Right	0.02
134	[2.716343723118953, -0.5646110270966586, 0.0020500000937317964, 4.941592653589795]	[2.918010415065331, -0.6187455388188908, 0.0020500000937317964, 4.7415926535897945]	Left	0.02
135	[2.994865886700826, -0.43801954083604033, 0.0020500000937317964, 5.141592653589795]	[2.716343723118953, -0.5646110270966586, 0.0020500000937317964, 4.941592653589795]	Right	0.02
136	[2.788037591142861, -0.46669106253592824, 0.0020500000937317964, 5.141592653589795]	[2.994865886700826, -0.43801954083604033, 0.0020500000937317964, 5.141592653589795]	Left	0.02
137	[3.060826819190565, -0.3418470115717851, 0.0020500000937317964, 5.141592653589795]	[2.788037591142861, -0.46669106253592824, 0.0020500000937317964, 5.141592653589795]	Right	0.02
138	[2.8539985236326, -0.370518533271673, 0.0020500000937317964, 5.341592653589795]	[3.060826819190565, -0.3418470115717851, 0.0020500000937317964, 5.141592653589795]	Left	0.02
139	[3.16205282569346, -0.36892260664536225, 0.0020500000937317964, 5.141592653589795]	[2.8539985236326, -0.370518533271673, 0.0020500000937317964, 5.341592653589795]	Right	0.02
140	[3.051007871431839, -0.3013280940497789, 0.0020500000937317964, 5.141592653589795]	[2.8539985236326, -0.370518533271673, 0.0020500000937317964, 5.341592653589795]	Right	0.02
141	[2.844179575873874, -0.3299996157496668, 0.0020500000937317964, 5.341592653589795]	[3.051007871431839, -0.3013280940497789, 0.0020500000937317964, 5.141592653589795]	Left	0.02
142	[3.181658933797501, -0.36882850931433553, 0.0020500000937317964, 5.341592653589795]	[2.844179575873874, -0.3299996157496668, 0.0020500000937317964, 5.341592653589795]	Right	0.02
143	[2.846298148259461, -0.5939927022915237, 0.0020500000937317964, 5.141592653589795]	[3.060826819190565, -0.3418470115717851, 0.0020500000937317964, 5.141592653589795]	Left	0.02
144	[3.0358580089977365, -0.2872891659622442, 0.0020500000937317964, 4.941592653589795]	[2.788037591142861, -0.46669106253592824, 0.0020500000937317964, 5.141592653589795]	Right	0.02
145	[2.7787639755966023, -0.28565883178282464, 0.0020500000937317964, 4.941592653589795]	[3.0358580089977365, -0.2872891659622442, 0.0020500000937317964, 4.941592653589795]	Left	0.02
146	[2.7470454688459505, -0.6174214374097243, 0.0020500000937317964, 4.941592653589795]	[2.994865886700826, -0.43801954083604033, 0.0020500000937317964, 5.141592653589795]	Left	0.02
147	[2.607600721546093, -0.6067412966059422, 0.0020500000937317964, 4.7415926535897945]	[2.913433669116645, -0.5986044556767065, 0.0020500000937317964, 4.541592653589794]	Left	0.02
148	[2.911560735580725, -0.7379217443413659, 0.0020500000937317964, 4.7415926535897945]	[2.607600721546093, -0.6067412966059422, 0.0020500000937317964, 4.7415926535897945]	Right	0.02
149	[2.66707123661953, -0.5561126699516465, 0.0020500000937317964, 4.341592653589794]	[2.913433669116645, -0.5986044556767065, 0.0020500000937317964, 4.541592653589794]	Left	0.02
150	[2.881458566603897, -0.8325870317687492, 0.0020500000937317964, 4.541592653589794]	[2.66707123661953, -0.5561126699516465, 0.0020500000937317964, 4.341592653589794]	Right	0.02
151	[2.6843686206062047, -0.7985936031887012, 0.0020500000937317964, 4.341592653589794]	[2.881458566603897, -0.8325870317687492, 0.0020500000937317964, 4.541592653589794]	Left	0.02
152	[2.87077643779965, -0.8710651540840357, 0.0020500000937317964, 4.341592653589794]	[2.6843686206062047, -0.7985936031887012, 0.0020500000937317964, 4.341592653589794]	Right	0.02
153	[2.6945666491802194, -0.7394666193893935, 0.0020500000937317964, 4.341592653589794]	[2.881458566603897, -0.8325870317687492, 0.0020500000937317964, 4.541592653589794]	Left	0.02
