i	f_sup	f_swg	f_swg_id	traj_h
0	[3.3, -0.1, 0.000205, 3.141592653589793]	[3.3, 0.1, 0.000205, 3.141592653589793]	Right	None
1	[3.1199999999999997, 0.15, 0.0020500000937317964, 3.141592653589793]	[3.3, -0.1, 0.000205, 3.141592653589793]	Left	0.02
2	[2.8899999999999997, -0.14999999999999994, 0.0020500000937317964, 3.3415926535897933]	[3.1199999999999997, 0.15, 0.0020500000937317964, 3.141592653589793]	Right	0.02
3	[2.8892031954319557, 0.1559401332000762, 0.0020500000937317964, 3.5415926535897935]	[2.8899999999999997, -0.14999999999999994, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
4	[3.36, 0.1, 0.0020500000937317964, 3.3415926535897933]	[3.3, -0.1, 0.000205, 3.141592653589793]	Left	0.02
5	[3.1743185532555267, -0.14170726165111242, 0.0020500000937317964, 3.3415926535897933]	[3.36, 0.1, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
6	[3.0365780293123903, 0.03443912083762979, 0.0020500000937317964, 3.5415926535897935]	[3.1743185532555267, -0.14170726165111242, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
7	[3.4196007992385185, -0.19401997335237245, 0.0020500000937317964, 3.3415926535897933]	[3.36, 0.1, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
8	[3.3798669330795064, 0.001993342215875882, 0.0020500000937317964, 3.3415926535897933]	[3.4196007992385185, -0.19401997335237245, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
9	[3.4883382604487463, -0.23110314239673085, 0.0020500000937317964, 3.3415926535897933]	[3.3798669330795064, 0.001993342215875882, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
10	[3.4875414558807023, 0.07483699080334527, 0.0020500000937317964, 3.5415926535897935]	[3.4883382604487463, -0.23110314239673085, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
11	[3.4974749224204555, 0.025833661911283223, 0.0020500000937317964, 3.3415926535897933]	[3.4883382604487463, -0.23110314239673085, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
12	[3.45906906387485, -0.28805324452059533, 0.0020500000937317964, 3.5415926535897935]	[3.4974749224204555, 0.025833661911283223, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
13	[3.4364490550532927, -0.08047594518149928, 0.0020500000937317964, 3.5415926535897935]	[3.45906906387485, -0.28805324452059533, 0.0020500000937317964, 3.5415926535897935]	Left	0.02
14	[3.569596383155196, -0.24132304344355726, 0.0020500000937317964, 3.7415926535897936]	[3.4364490550532927, -0.08047594518149928, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
15	[3.378915627911856, -0.06886768811983987, 0.0020500000937317964, 3.941592653589794]	[3.569596383155196, -0.24132304344355726, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
16	[3.345902203315469, -0.09145338705564132, 0.0020500000937317964, 3.7415926535897936]	[3.569596383155196, -0.24132304344355726, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
17	[3.4048551014700514, -0.3652597616054316, 0.0020500000937317964, 3.5415926535897935]	[3.4364490550532927, -0.08047594518149928, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
