i	f_sup	f_swg	f_swg_id	traj_h
1927	[-0.4179834291669966, 1.3763904284795188, 0.0020500000937317964, 0.17079632679489676]	[-0.6763399032602657, 1.544175804165524, 0.0020500000937317964, 0.37079632679489677]	Left	0.02
1928	[-0.40134823109274925, 1.6329508895506484, 0.0020500000937317964, 0.37079632679489677]	[-0.4179834291669966, 1.3763904284795188, 0.0020500000937317964, 0.17079632679489676]	Right	0.02
1929	[-0.23382177699471102, 1.6618453038436893, 0.0020500000937317964, 0.17079632679489676]	[-0.4179834291669966, 1.3763904284795188, 0.0020500000937317964, 0.17079632679489676]	Right	0.02
1930	[-0.33101060983868447, 1.6958207474820906, 0.0020500000937317964, 0.17079632679489676]	[-0.4179834291669966, 1.3763904284795188, 0.0020500000937317964, 0.17079632679489676]	Right	0.02
1931	[-0.18147549396976614, 1.4171825427755766, 0.0020500000937317964, 0.37079632679489677]	[-0.33101060983868447, 1.6958207474820906, 0.0020500000937317964, 0.17079632679489676]	Left	0.02
1932	[-0.08618000939100018, 1.6688147557748232, 0.0020500000937317964, 0.37079632679489677]	[-0.18147549396976614, 1.4171825427755766, 0.0020500000937317964, 0.37079632679489677]	Right	0.02
1933	[0.20066053127679662, 1.565749222111013, 0.0020500000937317964, 0.17079632679489676]	[-0.08618000939100018, 1.6688147557748232, 0.0020500000937317964, 0.37079632679489677]	Left	0.02
1934	[-0.3279872777469681, 1.6284508489987828, 0.0020500000937317964, 0.5707963267948968]	[-0.18147549396976614, 1.4171825427755766, 0.0020500000937317964, 0.37079632679489677]	Right	0.02
1935	[-0.07510576340682762, 1.4937254256183483, 0.0020500000937317964, 0.5707963267948968]	[-0.3279872777469681, 1.6284508489987828, 0.0020500000937317964, 0.5707963267948968]	Left	0.02
1936	[-0.15304935668647995, 1.8001969516475311, 0.0020500000937317964, 0.5707963267948968]	[-0.07510576340682762, 1.4937254256183483, 0.0020500000937317964, 0.5707963267948968]	Right	0.02
1937	[-0.216142587430901, 1.6719337795359837, 0.0020500000937317964, 0.5707963267948968]	[-0.18147549396976614, 1.4171825427755766, 0.0020500000937317964, 0.37079632679489677]	Right	0.02
1938	[0.11247131554195014, 1.5858355636836818, 0.0020500000937317964, 0.5707963267948968]	[-0.216142587430901, 1.6719337795359837, 0.0020500000937317964, 0.5707963267948968]	Left	0.02
1939	[0.10184540104692952, 1.935531274182316, 0.0020500000937317964, 0.5707963267948968]	[0.11247131554195014, 1.5858355636836818, 0.0020500000937317964, 0.5707963267948968]	Right	0.02
1940	[0.1864327184254907, 1.6927453896282536, 0.0020500000937317964, 0.37079632679489677]	[0.10184540104692952, 1.935531274182316, 0.0020500000937317964, 0.5707963267948968]	Left	0.02
1941	[0.09584327980632226, 1.92575516112006, 0.0020500000937317964, 0.5707963267948968]	[0.1864327184254907, 1.6927453896282536, 0.0020500000937317964, 0.37079632679489677]	Right	0.02
1942	[0.3210680759947541, 1.779193758567156, 0.0020500000937317964, 0.7707963267948967]	[0.10184540104692952, 1.935531274182316, 0.0020500000937317964, 0.5707963267948968]	Left	0.02
1943	[0.2770479640974947, 2.154643128986861, 0.0020500000937317964, 0.5707963267948968]	[0.3210680759947541, 1.779193758567156, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
1944	[0.2639360928073715, 1.6830899787399471, 0.0020500000937317964, 0.7707963267948967]	[0.10184540104692952, 1.935531274182316, 0.0020500000937317964, 0.5707963267948968]	Left	0.02
1945	[0.011882714549250495, 1.856494403448974, 0.0020500000937317964, 0.9707963267948967]	[0.2639360928073715, 1.6830899787399471, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
1946	[0.3480843871575282, 1.9051609765294413, 0.0020500000937317964, 0.7707963267948967]	[0.011882714549250495, 1.856494403448974, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
1947	[0.2334140848706897, 1.8260994702609348, 0.0020500000937317964, 0.7707963267948967]	[0.011882714549250495, 1.856494403448974, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
1948	[0.1883615038958124, 2.1308457006683055, 0.0020500000937317964, 0.7707963267948967]	[0.2334140848706897, 1.8260994702609348, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
1949	[0.016196042079926976, 1.9636360904249854, 0.0020500000937317964, 0.5707963267948968]	[0.2334140848706897, 1.8260994702609348, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
1950	[0.2624338323211586, 1.7652250255694306, 0.0020500000937317964, 0.37079632679489677]	[0.016196042079926976, 1.9636360904249854, 0.0020500000937317964, 0.5707963267948968]	Left	0.02
1951	[0.06744343752051143, 2.0831087000916213, 0.0020500000937317964, 0.7707963267948967]	[0.2334140848706897, 1.8260994702609348, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
1952	[0.20678477938994455, 1.9396374819117168, 0.0020500000937317964, 0.5707963267948968]	[0.06744343752051143, 2.0831087000916213, 0.0020500000937317964, 0.7707963267948967]	Left	0.02
1953	[0.12219746201138337, 2.1824233664657795, 0.0020500000937317964, 0.37079632679489677]	[0.20678477938994455, 1.9396374819117168, 0.0020500000937317964, 0.5707963267948968]	Right	0.02
1954	[0.04469408762950258, 2.1920787773540855, 0.0020500000937317964, 0.37079632679489677]	[0.20678477938994455, 1.9396374819117168, 0.0020500000937317964, 0.5707963267948968]	Right	0.02
1955	[0.22422930844078856, 2.1656810361356635, 0.0020500000937317964, 0.7707963267948967]	[0.2334140848706897, 1.8260994702609348, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
1956	[0.5633978866844702, 2.1465845565606307, 0.0020500000937317964, 0.7707963267948967]	[0.22422930844078856, 2.1656810361356635, 0.0020500000937317964, 0.7707963267948967]	Left	0.02
1957	[0.48350997024223463, 2.4871985915129775, 0.0020500000937317964, 0.9707963267948967]	[0.5633978866844702, 2.1465845565606307, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
1958	[0.42612148297027286, 2.431462054765204, 0.0020500000937317964, 0.5707963267948968]	[0.5633978866844702, 2.1465845565606307, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
1959	[0.5611970594373078, 2.22109430856323, 0.0020500000937317964, 0.37079632679489677]	[0.42612148297027286, 2.431462054765204, 0.0020500000937317964, 0.5707963267948968]	Left	0.02
1960	[0.510708800348834, 2.1886761702111417, 0.0020500000937317964, 0.7707963267948967]	[0.42612148297027286, 2.431462054765204, 0.0020500000937317964, 0.5707963267948968]	Left	0.02
1961	[0.1893939729734303, 2.2015488406806396, 0.0020500000937317964, 0.5707963267948968]	[0.2334140848706897, 1.8260994702609348, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
1962	[0.4356317632146619, 2.003137775825085, 0.0020500000937317964, 0.37079632679489677]	[0.1893939729734303, 2.2015488406806396, 0.0020500000937317964, 0.5707963267948968]	Left	0.02
1963	[0.2710020917136262, 2.2610080363466523, 0.0020500000937317964, 0.17079632679489676]	[0.4356317632146619, 2.003137775825085, 0.0020500000937317964, 0.37079632679489677]	Right	0.02
1964	[0.40354049329252045, 2.0809148046389843, 0.0020500000937317964, 0.17079632679489676]	[0.2710020917136262, 2.2610080363466523, 0.0020500000937317964, 0.17079632679489676]	Left	0.02
1965	[0.3219922345836985, 1.965373117350114, 0.0020500000937317964, 0.17079632679489676]	[0.2710020917136262, 2.2610080363466523, 0.0020500000937317964, 0.17079632679489676]	Left	0.02
1966	[0.42596176820203474, 2.1862584633538398, 0.0020500000937317964, 0.37079632679489677]	[0.3219922345836985, 1.965373117350114, 0.0020500000937317964, 0.17079632679489676]	Right	0.02
1967	[0.5724735519792368, 1.9749901571306336, 0.0020500000937317964, 0.17079632679489676]	[0.42596176820203474, 2.1862584633538398, 0.0020500000937317964, 0.37079632679489677]	Left	0.02
1968	[0.6285267392530225, 2.2383493039177726, 0.0020500000937317964, 0.37079632679489677]	[0.5724735519792368, 1.9749901571306336, 0.0020500000937317964, 0.17079632679489676]	Right	0.02
1969	[0.6450759449903236, 2.0302000214557268, 0.0020500000937317964, 0.17079632679489676]	[0.6285267392530225, 2.2383493039177726, 0.0020500000937317964, 0.37079632679489677]	Left	0.02
1970	[0.7942021987450798, 2.0881772621719947, 0.0020500000937317964, 0.37079632679489677]	[0.6285267392530225, 2.2383493039177726, 0.0020500000937317964, 0.37079632679489677]	Left	0.02
1971	[0.24586853649436682, 2.053720061774946, 0.0020500000937317964, 0.37079632679489677]	[0.2710020917136262, 2.2610080363466523, 0.0020500000937317964, 0.17079632679489676]	Left	0.02
1972	[-0.18997385111477819, 1.4664550292749996, 0.0020500000937317964, -0.029203673205103253]	[-0.33101060983868447, 1.6958207474820906, 0.0020500000937317964, 0.17079632679489676]	Left	0.02
1973	[-0.1812139944243916, 1.7663271101874511, 0.0020500000937317964, 0.17079632679489676]	[-0.18997385111477819, 1.4664550292749996, 0.0020500000937317964, -0.029203673205103253]	Right	0.02
1974	[-0.6678415461152536, 1.4949033176661009, 0.0020500000937317964, -0.029203673205103253]	[-0.7323930905340514, 1.2808166573783848, 0.0020500000937317964, 0.17079632679489676]	Right	0.02
1975	[-1.9358806124199064, 1.2235454395619172, 0.0020500000937317964, 0.9707963267948967]	[-1.7965392705504732, 1.0800742213820127, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
1976	[-1.6956681602887846, 1.1319049581077392, 0.0020500000937317964, 1.1707963267948966]	[-1.9358806124199064, 1.2235454395619172, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
1977	[-1.933044624258785, 1.3408365602006227, 0.0020500000937317964, 0.9707963267948967]	[-1.6956681602887846, 1.1319049581077392, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
1978	[-1.6691778442268643, 1.2591773555666523, 0.0020500000937317964, 0.9707963267948967]	[-1.9358806124199064, 1.2235454395619172, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
1979	[-1.8003664188050978, 1.4216259871402401, 0.0020500000937317964, 1.1707963267948966]	[-1.6691778442268643, 1.2591773555666523, 0.0020500000937317964, 0.9707963267948967]	Right	0.02
1980	[-1.5460589183889637, 1.5095332975990294, 0.0020500000937317964, 1.1707963267948966]	[-1.8003664188050978, 1.4216259871402401, 0.0020500000937317964, 1.1707963267948966]	Left	0.02
1981	[-1.6913292829586757, 1.679523065461048, 0.0020500000937317964, 1.3707963267948966]	[-1.5460589183889637, 1.5095332975990294, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
1982	[-1.7328109978588395, 1.838202828912288, 0.0020500000937317964, 1.3707963267948966]	[-1.5460589183889637, 1.5095332975990294, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
1983	[-1.438791024506467, 1.7786020296737697, 0.0020500000937317964, 1.1707963267948966]	[-1.7328109978588395, 1.838202828912288, 0.0020500000937317964, 1.3707963267948966]	Left	0.02
1984	[-1.5794900542761987, 2.0878006438715957, 0.0020500000937317964, 0.9707963267948967]	[-1.438791024506467, 1.7786020296737697, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
1985	[-1.6917442221688135, 1.950691192006538, 0.0020500000937317964, 1.3707963267948966]	[-1.438791024506467, 1.7786020296737697, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
1986	[-1.36196376927333, 2.067502376779443, 0.0020500000937317964, 1.1707963267948966]	[-1.6917442221688135, 1.950691192006538, 0.0020500000937317964, 1.3707963267948966]	Left	0.02
1987	[-1.4679172002892567, 2.0481666467452997, 0.0020500000937317964, 1.1707963267948966]	[-1.6917442221688135, 1.950691192006538, 0.0020500000937317964, 1.3707963267948966]	Left	0.02
1988	[-1.5820340974742766, 2.2918412941275492, 0.0020500000937317964, 1.3707963267948966]	[-1.4679172002892567, 2.0481666467452997, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
1989	[-1.5976108311666226, 2.2549988543674337, 0.0020500000937317964, 1.3707963267948966]	[-1.4679172002892567, 2.0481666467452997, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
1990	[-1.306900240623448, 2.430746834572154, 0.0020500000937317964, 1.5707963267948966]	[-1.5976108311666226, 2.2549988543674337, 0.0020500000937317964, 1.3707963267948966]	Left	0.02
1991	[-1.556900240623448, 2.5707468345721542, 0.0020500000937317964, 1.7707963267948965]	[-1.306900240623448, 2.430746834572154, 0.0020500000937317964, 1.5707963267948966]	Right	0.02
1992	[-1.3966474045983106, 2.78689268474259, 0.0020500000937317964, 1.7707963267948965]	[-1.556900240623448, 2.5707468345721542, 0.0020500000937317964, 1.7707963267948965]	Left	0.02
1993	[-1.6045808800142627, 2.805962813254052, 0.0020500000937317964, 1.7707963267948965]	[-1.3966474045983106, 2.78689268474259, 0.0020500000937317964, 1.7707963267948965]	Right	0.02
