i	f_sup	f_swg	f_swg_id	traj_h
375	[0.7920354295315019, 0.6112865696204459, 0.10000000149011612, 2.941592653589793]	[0.8417027622302672, 0.8563032140807564, 0.10000000149011612, 2.941592653589793]	Right	0.02
376	[0.7828987675597927, 0.8682233739284599, 0.10000000149011612, 2.941592653589793]	[0.7920354295315019, 0.6112865696204459, 0.10000000149011612, 2.941592653589793]	Left	0.02
377	[0.8019688960712549, 0.6602898985125079, 0.10000000149011612, 2.941592653589793]	[0.7828987675597927, 0.8682233739284599, 0.10000000149011612, 2.941592653589793]	Right	0.02
378	[0.8417027622302672, 0.8563032140807562, 0.10000000149011612, 2.7415926535897928]	[0.8019688960712549, 0.6602898985125079, 0.10000000149011612, 2.941592653589793]	Left	0.02
379	[0.7729653010200397, 0.819220045036398, 0.10000000149011612, 2.7415926535897928]	[0.7920354295315019, 0.6112865696204459, 0.10000000149011612, 2.941592653589793]	Left	0.02
380	[0.8317692956905142, 0.8072998851886942, 0.10000000149011612, 2.7415926535897928]	[0.7920354295315019, 0.6112865696204459, 0.10000000149011612, 2.941592653589793]	Left	0.02
381	[0.770207452638092, 0.5076164864493098, 0.10000000149011612, 2.7415926535897928]	[0.8317692956905142, 0.8072998851886942, 0.10000000149011612, 2.7415926535897928]	Right	0.02
382	[0.8122983785750816, 0.76124683548855, 0.10000000149011612, 2.5415926535897926]	[0.770207452638092, 0.5076164864493098, 0.10000000149011612, 2.7415926535897928]	Left	0.02
383	[0.8480911210998222, 0.6918286852498867, 0.10000000149011612, 2.7415926535897928]	[0.770207452638092, 0.5076164864493098, 0.10000000149011612, 2.7415926535897928]	Left	0.02
384	[0.7896783697535246, 0.5536695361494539, 0.10000000149011612, 2.5415926535897926]	[0.8317692956905142, 0.8072998851886942, 0.10000000149011612, 2.7415926535897928]	Right	0.02
385	[0.7692439203428094, 0.9311379895032155, 0.10000000149011612, 2.7415926535897928]	[0.7896783697535246, 0.5536695361494539, 0.10000000149011612, 2.5415926535897926]	Left	0.02
386	[0.4405743890295506, 0.7443859100333398, 0.20000000298023224, 2.7415926535897928]	[0.7692439203428094, 0.9311379895032155, 0.10000000149011612, 2.7415926535897928]	Right	0.108
387	[0.9590711117720353, 0.8012702206223572, 0.10000000149011612, 2.3415926535897924]	[0.7896783697535246, 0.5536695361494539, 0.10000000149011612, 2.5415926535897926]	Left	0.02
388	[0.7737974910313007, 0.7049702442068956, 0.10000000149011612, 2.3415926535897924]	[0.9590711117720353, 0.8012702206223572, 0.10000000149011612, 2.3415926535897924]	Right	0.02
389	[0.9113341111953517, 0.9221882869976582, 0.10000000149011612, 2.1415926535897922]	[0.7737974910313007, 0.7049702442068956, 0.10000000149011612, 2.3415926535897924]	Left	0.02
390	[0.9890043183011576, 0.913982257011045, 0.10000000149011612, 2.5415926535897926]	[0.7737974910313007, 0.7049702442068956, 0.10000000149011612, 2.3415926535897924]	Left	0.02
391	[0.7935422621311827, 0.805379381368613, 0.10000000149011612, 2.7415926535897928]	[0.9890043183011576, 0.913982257011045, 0.10000000149011612, 2.5415926535897926]	Right	0.02
392	[0.8760758236221504, 0.7489151340291094, 0.10000000149011612, 2.3415926535897924]	[0.9890043183011576, 0.913982257011045, 0.10000000149011612, 2.5415926535897926]	Right	0.02
393	[0.8478436999523986, 0.7076483532836255, 0.10000000149011612, 2.7415926535897928]	[0.9890043183011576, 0.913982257011045, 0.10000000149011612, 2.5415926535897926]	Right	0.02
394	[0.798323563057818, 0.7415269016873276, 0.10000000149011612, 2.5415926535897926]	[0.9890043183011576, 0.913982257011045, 0.10000000149011612, 2.5415926535897926]	Right	0.02
395	[0.8754663066503755, 0.8873529515302999, 0.10000000149011612, 2.1415926535897922]	[0.7737974910313007, 0.7049702442068956, 0.10000000149011612, 2.3415926535897924]	Left	0.02
396	[0.7797320890471544, 0.627093543285566, 0.10000000149011612, 2.1415926535897922]	[0.9590711117720353, 0.8012702206223572, 0.10000000149011612, 2.3415926535897924]	Right	0.02
397	[0.9576816968970403, 0.8126573788410745, 0.10000000149011612, 1.9415926535897923]	[0.7797320890471544, 0.627093543285566, 0.10000000149011612, 2.1415926535897922]	Left	0.02
398	[0.7350381042559277, 0.8333897365424626, 0.10000000149011612, 1.7415926535897923]	[0.9576816968970403, 0.8126573788410745, 0.10000000149011612, 1.9415926535897923]	Right	0.02
399	[0.7930153449721953, 0.6842634827877063, 0.10000000149011612, 1.7415926535897923]	[0.9576816968970403, 0.8126573788410745, 0.10000000149011612, 1.9415926535897923]	Right	0.02
400	[0.7459292226574141, 0.7336644878428765, 0.10000000149011612, 2.1415926535897922]	[0.9590711117720353, 0.8012702206223572, 0.10000000149011612, 2.3415926535897924]	Right	0.02
401	[0.8530867275379511, 0.7526152075350917, 0.10000000149011612, 2.7415926535897928]	[0.7896783697535246, 0.5536695361494539, 0.10000000149011612, 2.5415926535897926]	Left	0.02
402	[0.8483054266113158, 0.816467687216377, 0.10000000149011612, 2.7415926535897928]	[0.7896783697535246, 0.5536695361494539, 0.10000000149011612, 2.5415926535897926]	Left	0.02
403	[0.7867435835588936, 0.5167842884769924, 0.10000000149011612, 2.941592653589793]	[0.8483054266113158, 0.816467687216377, 0.10000000149011612, 2.7415926535897928]	Right	0.02
404	[1.2943941956509266, 0.5824495965694987, 0.10000000149011612, 2.7415926535897928]	[1.2951910002189706, 0.8883897297695748, 0.10000000149011612, 2.941592653589793]	Right	0.02
405	[1.2455236675202053, 0.6433730853092643, 0.10000000149011612, 2.7415926535897928]	[1.2951910002189706, 0.8883897297695748, 0.10000000149011612, 2.941592653589793]	Right	0.02
406	[1.1083143466224314, 0.6711867916205729, 0.10000000149011612, 2.7415926535897928]	[1.2951910002189706, 0.8883897297695748, 0.10000000149011612, 2.941592653589793]	Right	0.02
407	[1.1861980150841616, 0.8553989904211499, 0.10000000149011612, 2.5415926535897926]	[1.1083143466224314, 0.6711867916205729, 0.10000000149011612, 2.7415926535897928]	Left	0.02
408	[0.9577225343177995, 0.7693818137145193, 0.10000000149011612, 2.5415926535897926]	[1.1861980150841616, 0.8553989904211499, 0.10000000149011612, 2.5415926535897926]	Right	0.02
409	[0.8552102053061766, 0.7789328555745887, 0.10000000149011612, 2.5415926535897926]	[1.1861980150841616, 0.8553989904211499, 0.10000000149011612, 2.5415926535897926]	Right	0.02
410	[0.9012582869782959, 0.6868482522235515, 0.10000000149011612, 2.7415926535897928]	[1.1861980150841616, 0.8553989904211499, 0.10000000149011612, 2.5415926535897926]	Right	0.02
411	[0.8870358560397376, 0.9100022852549936, 0.10000000149011612, 2.5415926535897926]	[0.9012582869782959, 0.6868482522235515, 0.10000000149011612, 2.7415926535897928]	Left	0.02
412	[1.1227896572997351, 0.6564533190355121, 0.10000000149011612, 2.5415926535897926]	[1.1861980150841616, 0.8553989904211499, 0.10000000149011612, 2.5415926535897926]	Right	0.02
413	[1.0308621604689643, 0.7743918756645872, 0.10000000149011612, 2.5415926535897926]	[1.2745368078512138, 0.888508772849607, 0.10000000149011612, 2.7415926535897928]	Right	0.02
