i	f_sup	f_swg	f_swg_id	traj_params	h_max
0	[3.3, -0.1, 0.000205, 3.141592653589793]	[3.3, 0.1, 0.000205, 3.141592653589793]	Right	None
1	[3.36, 0.1, 0.0020500000937317964, 3.141592653589793]	[3.3, -0.1, 0.000205, 3.141592653589793]	Left	0.02
2	[3.13, -0.09999999999999998, 0.0020500000937317964, 3.3415926535897933]	[3.36, 0.1, 0.0020500000937317964, 3.141592653589793]	Right	0.02
3	[2.9331898798637077, 0.1662062670410639, 0.0020500000937317964, 3.5415926535897935]	[3.13, -0.09999999999999998, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
4	[2.7992295197047743, -0.10757215049050278, 0.0020500000937317964, 3.5415926535897935]	[2.9331898798637077, 0.1662062670410639, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
5	[2.5729263949672077, 0.06817453008700736, 0.0020500000937317964, 3.5415926535897935]	[2.7992295197047743, -0.10757215049050278, 0.0020500000937317964, 3.5415926535897935]	Left	0.02
6	[2.578174881144082, -0.20103255264457898, 0.0020500000937317964, 3.5415926535897935]	[2.5729263949672077, 0.06817453008700736, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
7	[2.295558399530967, 0.0051904439407294, 0.0020500000937317964, 3.5415926535897935]	[2.578174881144082, -0.20103255264457898, 0.0020500000937317964, 3.5415926535897935]	Left	0.02
8	[2.3008068857078414, -0.2640166387908569, 0.0020500000937317964, 3.5415926535897935]	[2.295558399530967, 0.0051904439407294, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
9	[2.1113462007303903, -0.07269322452100072, 0.0020500000937317964, 3.5415926535897935]	[2.3008068857078414, -0.2640166387908569, 0.0020500000937317964, 3.5415926535897935]	Left	0.02
10	[2.0992231642625816, -0.4035300906450773, 0.0020500000937317964, 3.7415926535897936]	[2.1113462007303903, -0.07269322452100072, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
11	[1.7682353544845966, -0.327063955798516, 0.0020500000937317964, 3.941592653589794]	[2.0992231642625816, -0.4035300906450773, 0.0020500000937317964, 3.7415926535897936]	Left	0.02
12	[1.7862993649820116, -0.5955293940298632, 0.0020500000937317964, 3.941592653589794]	[1.7682353544845966, -0.327063955798516, 0.0020500000937317964, 3.941592653589794]	Right	0.02
13	[1.4108499945623068, -0.551509282132604, 0.10000000149011612, 4.141592653589794]	[1.7862993649820116, -0.5955293940298632, 0.0020500000937317964, 3.941592653589794]	Left	0.152
14	[1.481889776467621, -0.8110345205716533, 0.10000000149011612, 3.941592653589794]	[1.4108499945623068, -0.551509282132604, 0.10000000149011612, 4.141592653589794]	Right	0.152
15	[1.2408796189791134, -0.7721230314281535, 0.10000000149011612, 3.7415926535897936]	[1.481889776467621, -0.8110345205716533, 0.10000000149011612, 3.941592653589794]	Left	0.02
16	[1.4597924978922048, -0.9858451674973548, 0.10000000149011612, 3.5415926535897935]	[1.2408796189791134, -0.7721230314281535, 0.10000000149011612, 3.7415926535897936]	Right	0.02
17	[1.2161178505099552, -0.8717282703123349, 0.10000000149011612, 3.3415926535897933]	[1.4597924978922048, -0.9858451674973548, 0.10000000149011612, 3.5415926535897935]	Left	0.02
18	[1.0304364037654818, -1.1134355319634472, 0.10000000149011612, 3.141592653589793]	[1.2161178505099552, -0.8717282703123349, 0.10000000149011612, 3.3415926535897933]	Right	0.02
19	[0.9304364037654819, -0.8134355319634472, 0.10000000149011612, 2.941592653589793]	[1.0304364037654818, -1.1134355319634472, 0.10000000149011612, 3.141592653589793]	Left	0.02
20	[0.7534932167086957, -0.981635141220387, 0.10000000149011612, 3.141592653589793]	[0.9304364037654819, -0.8134355319634472, 0.10000000149011612, 2.941592653589793]	Right	0.02
21	[0.7534932167086957, -0.6816351412203869, 0.10000000149011612, 3.141592653589793]	[0.7534932167086957, -0.981635141220387, 0.10000000149011612, 3.141592653589793]	Left	0.02
22	[0.7534932167086957, -0.8816351412203869, 0.10000000149011612, 2.941592653589793]	[0.7534932167086957, -0.6816351412203869, 0.10000000149011612, 3.141592653589793]	Right	0.02
23	[0.8130940159472142, -0.5876151678680144, 0.10000000149011612, 2.941592653589793]	[0.7534932167086957, -0.8816351412203869, 0.10000000149011612, 2.941592653589793]	Left	0.02
24	[0.8122972113791702, -0.8935553010680906, 0.10000000149011612, 2.941592653589793]	[0.8130940159472142, -0.5876151678680144, 0.10000000149011612, 2.941592653589793]	Right	0.02
25	[0.8718980106176887, -0.599535327715718, 0.10000000149011612, 2.7415926535897928]	[0.8122972113791702, -0.8935553010680906, 0.10000000149011612, 2.941592653589793]	Left	0.02
26	[0.8492780017961316, -0.8071126270548141, 0.10000000149011612, 2.7415926535897928]	[0.8718980106176887, -0.599535327715718, 0.10000000149011612, 2.7415926535897928]	Right	0.02
27	[0.9824253298980348, -0.6462655287927562, 0.10000000149011612, 2.5415926535897926]	[0.8492780017961316, -0.8071126270548141, 0.10000000149011612, 2.7415926535897928]	Left	0.02
28	[0.758731150058308, -0.7961351851806722, 0.10000000149011612, 2.5415926535897926]	[0.9824253298980348, -0.6462655287927562, 0.10000000149011612, 2.5415926535897926]	Right	0.02
29	[0.7891260832463475, -0.574603814859233, 0.10000000149011612, 2.3415926535897924]	[0.758731150058308, -0.7961351851806722, 0.10000000149011612, 2.5415926535897926]	Left	0.02
30	[0.4136767128266426, -0.618623926756492, 0.20000000298023224, 2.5415926535897926]	[0.7891260832463475, -0.574603814859233, 0.10000000149011612, 2.3415926535897924]	Right	0.108
31	[0.3367780160764239, -0.32368903489369816, 0.20000000298023224, 2.5415926535897926]	[0.4136767128266426, -0.618623926756492, 0.20000000298023224, 2.5415926535897926]	Left	0.108
32	[0.1130838362366971, -0.47355869128161404, 0.20000000298023224, 2.5415926535897926]	[0.3367780160764239, -0.32368903489369816, 0.20000000298023224, 2.5415926535897926]	Right	0.02
33	[0.10568404390171407, -0.16558914234308808, 0.20000000298023224, 2.3415926535897924]	[0.1130838362366971, -0.47355869128161404, 0.20000000298023224, 2.5415926535897926]	Left	0.02
34	[-0.1513251859289728, -0.33155978969326616, 0.20000000298023224, 2.5415926535897926]	[0.10568404390171407, -0.16558914234308808, 0.20000000298023224, 2.3415926535897924]	Right	0.02
35	[-0.05968470447479447, -0.09134733756214453, 0.20000000298023224, 2.5415926535897926]	[-0.1513251859289728, -0.33155978969326616, 0.20000000298023224, 2.5415926535897926]	Left	0.02
36	[-0.22907744649330525, -0.33894802203504787, 0.20000000298023224, 2.5415926535897926]	[-0.05968470447479447, -0.09134733756214453, 0.20000000298023224, 2.5415926535897926]	Right	0.02
37	[-0.26470936249804006, -0.07224525384200581, 0.20000000298023224, 2.3415926535897924]	[-0.22907744649330525, -0.33894802203504787, 0.20000000298023224, 2.5415926535897926]	Left	0.02
38	[-0.6053233974503867, -0.15213317028424106, 0.10000000149011612, 2.5415926535897926]	[-0.26470936249804006, -0.07224525384200581, 0.20000000298023224, 2.3415926535897924]	Right	0.02
39	[-0.6822220942006054, 0.1428017215785528, 0.10000000149011612, 2.3415926535897924]	[-0.6053233974503867, -0.15213317028424106, 0.10000000149011612, 2.5415926535897926]	Left	0.02
40	[-0.8197587143646563, -0.07441632121220979, 0.10000000149011612, 2.3415926535897924]	[-0.6822220942006054, 0.1428017215785528, 0.10000000149011612, 2.3415926535897924]	Right	0.02
41	[-0.7379586309483785, 0.20019020885051472, 0.10000000149011612, 2.5415926535897926]	[-0.8197587143646563, -0.07441632121220979, 0.10000000149011612, 2.3415926535897924]	Left	0.02
42	[-1.0228983590542442, 0.03163947065291642, 0.10000000149011612, 2.3415926535897924]	[-0.7379586309483785, 0.20019020885051472, 0.10000000149011612, 2.5415926535897926]	Right	0.02
43	[-1.0048343485568292, 0.30010490888426355, 0.10000000149011612, 2.3415926535897924]	[-1.0228983590542442, 0.03163947065291642, 0.10000000149011612, 2.3415926535897924]	Left	0.02
44	[-1.2737127744192236, 0.28988766337674476, 0.10000000149011612, 2.3415926535897924]	[-1.0048343485568292, 0.30010490888426355, 0.10000000149011612, 2.3415926535897924]	Right	0.02
45	[-1.052571349133513, 0.42102297525956456, 0.10000000149011612, 2.5415926535897926]	[-1.2737127744192236, 0.28988766337674476, 0.10000000149011612, 2.3415926535897924]	Left	0.02
46	[-1.2480334053034878, 0.3124200996171326, 0.10000000149011612, 2.5415926535897926]	[-1.052571349133513, 0.42102297525956456, 0.10000000149011612, 2.5415926535897926]	Right	0.02
47	[-1.194187649372332, 0.6390707303653409, 0.10000000149011612, 2.7415926535897928]	[-1.2480334053034878, 0.3124200996171326, 0.10000000149011612, 2.5415926535897926]	Left	0.02
48	[-1.2915422349494947, 0.4088054818646197, 0.10000000149011612, 2.7415926535897928]	[-1.194187649372332, 0.6390707303653409, 0.10000000149011612, 2.7415926535897928]	Right	0.02
49	[-1.2299803918970724, 0.7084888806040042, 0.10000000149011612, 2.7415926535897928]	[-1.2915422349494947, 0.4088054818646197, 0.10000000149011612, 2.7415926535897928]	Left	0.02
50	[-1.2526004007186295, 0.5009115812649081, 0.10000000149011612, 2.941592653589793]	[-1.2299803918970724, 0.7084888806040042, 0.10000000149011612, 2.7415926535897928]	Right	0.02
51	[-1.2910062592642353, 0.8147984876967866, 0.10000000149011612, 3.141592653589793]	[-1.2526004007186295, 0.5009115812649081, 0.10000000149011612, 2.941592653589793]	Left	0.02
52	[-1.2310062592642352, 0.6147984876967867, 0.10000000149011612, 3.3415926535897933]	[-1.2910062592642353, 0.8147984876967866, 0.10000000149011612, 3.141592653589793]	Right	0.02
53	[-1.2707401254232475, 0.810811803265035, 0.10000000149011612, 3.5415926535897935]	[-1.2310062592642352, 0.6147984876967867, 0.10000000149011612, 3.3415926535897933]	Left	0.02
54	[-1.3023340790064888, 0.5260279868411026, 0.10000000149011612, 3.3415926535897933]	[-1.2707401254232475, 0.810811803265035, 0.10000000149011612, 3.5415926535897935]	Right	0.02
55	[-1.5873501911484929, 0.774354014110611, 0.0020500000937317964, 3.3415926535897933]	[-1.3023340790064888, 0.5260279868411026, 0.10000000149011612, 3.3415926535897933]	Left	0.02
56	[-1.6356895162338516, 0.5094704365707945, 0.0020500000937317964, 3.5415926535897935]	[-1.5873501911484929, 0.774354014110611, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
57	[-1.918305997846966, 0.7156934331561029, 0.0020500000937317964, 3.5415926535897935]	[-1.6356895162338516, 0.5094704365707945, 0.0020500000937317964, 3.5415926535897935]	Left	0.02
58	[-1.8762150719099766, 0.4620630841168626, 0.0020500000937317964, 3.5415926535897935]	[-1.918305997846966, 0.7156934331561029, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
59	[-2.185413686107803, 0.6027621138865942, 0.0020500000937317964, 3.3415926535897933]	[-1.8762150719099766, 0.4620630841168626, 0.0020500000937317964, 3.5415926535897935]	Left	0.02
