NR	swg_id	pos_x	pos:y	pos_z	orientation	trajectory_params
1	Right	-2.1999999999999997	1.1	0.0020500000937317964	1.5707963267948966	[-4.849067781066479e+30, 2157573250270523.5]
2	Left	-2.4	1.1600000000000001	0.0020500000937317964	1.5707963267948966	[-265.64166661459296, 15.969249998437789]
3	Right	-2.1999999999999997	1.1	0.0020500000937317964	1.3707963267948966	[0, 0]
4	Left	-2.474153040272866	1.2576074570226425	0.0020500000937317964	1.5707963267948966	[-63.889730379652356, 7.831611658175235]
5	Right	-2.1741530402728664	1.4876074570226425	0.0020500000937317964	1.5707963267948966	[-6.361508376030528, 2.471244229328479]
6	Left	-2.3741530402728666	1.7176074570226425	0.0020500000937317964	1.5707963267948966	[-4.332129963898919, 2.0393245855780195]
7	Right	-2.0741530402728667	1.8576074570226424	0.0020500000937317964	1.5707963267948966	[-6.535057862491498, 2.504726641370638]
8	Left	-2.3241530402728667	1.7976074570226424	0.0020500000937317964	1.5707963267948966	[-107.86516853932635, 10.175979648061078]
9	Right	-2.0741530402728667	1.8576074570226424	0.0020500000937317964	1.3707963267948966	[0, 0]
10	Left	-2.3310898445808808	1.8484707950509331	0.0020500000937317964	1.1707963267948966	[-364.29894484605575, 18.70098893246594]
11	Right	-2.123512545241785	1.8258507862293762	0.0020500000937317964	1.1707963267948966	[-278.67711862015693, 16.356345370386094]
12	Left	-2.3102646247116607	2.154520317542635	0.10000000149011612	1.3707963267948966	[-8.120084986261746, 2.810202681002839]
13	Right	-2.086437602832104	2.2519957722813966	0.10000000149011612	1.3707963267948966	[-4.176000839205195, 2.015290441636306]
14	Left	-2.344697096641365	2.4880085555313385	0.10000000149011612	1.1707963267948966	[-8.540925266903916, 2.8634399341050893]
15	Right	-2.1059663299175773	2.5390734262300123	0.10000000149011612	1.3707963267948966	[-11.59490999506118, 3.3363323568341827]
16	Left	-2.3019796454858255	2.5788072923890244	0.10000000149011612	1.1707963267948966	[-95.34032836786025, 9.566959560547218]
17	Right	-2.0327725627542392	2.57355880621215	0.10000000149011612	1.3707963267948966	[-146.64169923749483, 11.864907554127635]
18	Left	-2.314872376258908	2.691963600121143	0.10000000149011612	1.1707963267948966	[-74.01369530990699, 8.42930290697343]
