NR	swg_id	pos_x	pos:y	pos_z	orientation	trajectory_params
1	Right	3.3	0.19999999999999998	0.0020500000937317964	2.941592653589793	[-95.63099998125368, 9.581549999062684]
2	Right	3.1599999999999997	0.10000000000000003	0.0020500000937317964	3.141592653589793	[-48.791326521047694, 6.843964285044767]
3	Right	3.07	0.15000000000000005	0.0020500000937317964	3.141592653589793	[-17.261913354016905, 4.070810516881995]
4	Right	3.1199999999999997	0.19999999999999998	0.0020500000937317964	2.941592653589793	[-22.55448112765413, 4.653212026779418]
5	Right	3.36	0.1	0.0020500000937317964	2.941592653589793	[-265.64166661459296, 15.969249998437789]
6	Left	3.133920683289811	-0.10925616491719933	0.0020500000937317964	3.141592653589793	[-34.5637359342388, 5.760321998632494]
7	Left	3.3003992007614813	-0.19401997335237245	0.0020500000937317964	2.7415926535897928	[-108.18090748738831, 10.190881034647925]
8	Right	3.251433724533557	0.15239362646405016	0.0020500000937317964	2.5415926535897926	[-66.06234183882097, 7.96365796385481]
9	Right	3.453017445978817	0.012880174609829709	0.0020500000937317964	2.5415926535897926	[-59.105623922467814, 7.532688694322174]
10	Left	3.196309841542703	-0.11440378284228472	0.0020500000937317964	2.3415926535897924	[-55.900623850390446, 7.325612527043376]
11	Left	3.2341045670657254	-0.20084196145937147	0.0020500000937317964	2.7415926535897928	[-216.14231995195442, 14.40474321721412]
12	Right	3.386722812283061	0.006058186502830687	0.0020500000937317964	2.941592653589793	[-216.14231995195442, 14.40474321721412]
13	Right	3.3509300697583204	0.07547633674149398	0.0020500000937317964	2.941592653589793	[-66.94508431189618, 8.016687653851829]
14	Left	3.0659139576163166	-0.17284969052801433	0.0020500000937317964	2.941592653589793	[-33.021863391104475, 5.630363119325457]
15	Right	3.0567772956446073	0.08408711377999975	0.0020500000937317964	2.7415926535897928	[-11.085450346420325, 3.2622127969468075]
16	Left	3.0146863697076176	-0.1695432352592405	0.0020500000937317964	2.5415926535897926	[-364.2989448460518, 18.700988932465837]
17	Left	3.2010911424693385	-0.17825626252357005	0.0020500000937317964	2.5415926535897926	[-94.94999527923625, 9.547355417500011]
18	Left	3.262336690735477	-0.1595751807138876	0.0020500000937317964	2.5415926535897926	[-364.29894484605154, 18.70098893246583]
19	Right	3.283169022070246	0.1896611489701222	0.0020500000937317964	2.7415926535897928	[-15.973377703826957, 3.9159216789504203]
20	Right	3.3491958712630203	0.14448975109851936	0.0020500000937317964	2.3415926535897924	[-34.163701067615655, 5.726879868210178]
21	Right	3.3491958712630203	0.14448975109851936	0.0020500000937317964	2.7415926535897928	[-34.163701067615655, 5.726879868210178]
22	Left	3.287634028210598	-0.15519364764086513	0.0020500000937317964	2.5415926535897926	[-1456.4142648665545, 37.391946917376366]
23	Left	3.1228927465254537	-0.031256929478990725	0.0020500000937317964	2.5415926535897926	[-26.73336107307748, 5.065967492015161]
24	Right	3.214533227979632	0.2089555226521309	0.0020500000937317964	2.5415926535897926	[-43.06890497574056, 6.430097104765288]
25	Right	3.21367011765501	0.17662649189439011	0.0020500000937317964	2.3415926535897924	[-11.414982164090356, 3.310344827586205]
26	Left	2.9089238872476395	0.1315739109195131	0.0020500000937317964	2.3415926535897924	[-4.578658420723824, 2.0965476583886353]
27	Right	3.1659331170783265	0.2975445582696912	0.0020500000937317964	2.5415926535897926	[-56.80473372781059, 7.384615384615381]
28	Right	3.094197507988374	0.22787388733497466	0.0020500000937317964	2.3415926535897924	[-56.80473372781035, 7.3846153846153655]
29	Right	3.2549368984004943	0.14839436822463836	0.0020500000937317964	2.7415926535897928	[-16.66666666666666, 3.999999999999999]
30	Right	3.2267047747307425	0.10712758747915446	0.0020500000937317964	2.7415926535897928	[-15.973377703826948, 3.9159216789504194]
31	Left	3.000401649993176	-0.06861909309835562	0.0020500000937317964	2.7415926535897928	[-12.48650945763394, 3.462231806122834]
32	Right	3.1199999999999997	0.10000000000000003	0.0020500000937317964	3.141592653589793	[-29.515740734954772, 5.323083332812597]
33	Right	3.1199999999999997	0.10000000000000003	0.0020500000937317964	2.941592653589793	[-29.515740734954772, 5.323083332812597]
34	Right	3.07	0.10000000000000003	0.0020500000937317964	3.141592653589793	[-18.077693758271014, 4.165891303940297]
35	Left	3.01	-0.09999999999999998	0.0020500000937317964	3.141592653589793	[-11.371105824168087, 3.303982758297476]
36	Right	2.8299999999999996	0.10000000000000006	0.0020500000937317964	3.141592653589793	[-16.666666666666636, 3.9999999999999964]
37	Left	2.7699999999999996	-0.14999999999999994	0.0020500000937317964	2.941592653589793	[-15.973377703826927, 3.9159216789504168]
