NR	swg_id	pos_x	pos:y	pos_z	orientation	trajectory_params
1	Right	-2.3449999999999998	1.675	0.0020498848425631877	0.2	[-29.51574784922444, 5.323083973096867]
2	Left	-2.1593185532555266	1.9167072616511125	0.0020498848425631877	0.0	[-7.059598207165661, 2.6033131591623793]
3	Right	-2.0593185532555265	1.6167072616511124	0.0020498848425631877	0.0	[-11.29253239362573, 3.292541738213914]
4	Left	-2.0593185532555265	1.8167072616511124	0.0020498848425631877	0.2	[-47.99999999999991, 6.788225099390849]
5	Right	-2.009651220556761	1.571690617190802	0.0020498848425631877	0.0	[-213.64942928409414, 14.321433312093115]
6	Left	-2.009651220556761	1.871690617190802	0.0020498848425631877	0.2	[-174.86296359898688, 12.9564055607652]
7	Right	-1.7246351084147573	1.6233645899212936	0.10000000149011612	0.0	[-9.10679196451603, 2.9760489603832605]
8	Left	-1.7246351084147573	1.8233645899212936	0.10000000149011612	-0.2	[-9.143275382889765, 2.9820042909169477]
9	Right	-1.6078239236418521	1.49358413702581	0.10000000149011612	-0.4	[-31.487985578148134, 5.498042029215692]
10	Left	-1.529940255180122	1.677796335826387	0.10000000149011612	-0.4	[-16.244698640070364, 3.9490392115636874]
11	Right	-1.6630875832820253	1.516949237564329	0.10000000149011612	-0.6000000000000001	[-266.6666666666661, 15.999999999999984]
12	Left	-1.5501590886030183	1.6820163605462646	0.10000000149011612	-0.6000000000000001	[-2250.299745450541, 46.47889580909297]
13	Right	-1.5427592962680352	1.3740468116077387	0.10000000149011612	-0.6000000000000001	[-27.507163323782265, 5.13876218469302]
14	Left	-1.1835393628202986	1.491779727199784	0.20000000670552254	-0.8	[-4.45486512056968, 2.082135242722929]
15	Right	-1.2016033733177134	1.2233142889684367	0.20000000670552254	-0.8	[-5.463394360638185, 2.305806878860585]
16	Left	-1.058132155137809	1.36265563083787	0.20000000670552254	-0.8	[-29.62962962962967, 5.333333333333337]
17	Right	-1.2016033733177134	1.2233142889684367	0.20000000670552254	-0.6000000000000001	[0, 0]
18	Left	-1.0604427549689546	1.4296481926958564	0.20000000670552254	-0.6000000000000001	[-213.64942928409403, 14.321433312093111]
19	Right	-1.2228913865425424	1.298459618117623	0.20000000670552254	-0.4000000000000001	[-157.3770491803274, 12.291540473557994]
20	Left	-1.050802224209774	1.5514128157799694	0.20000000670552254	-0.6000000000000001	[-64.34504701959794, 7.859468502310701]
21	Right	-1.1142105819942005	1.3524671443943315	0.20000000670552254	-0.4000000000000001	[-65.18050510829895, 7.910327736823992]
22	Left	-1.0915905731726436	1.5600444437334275	0.20000000670552254	-0.4000000000000001	[-552.2972535395439, 23.02618864245584]
23	Right	-1.0968390593495179	1.290837361001841	0.20000000670552254	-0.20000000000000007	[-234.1463414634143, 14.992681141306171]
24	Left	-1.0571051931905056	1.4868506765700895	0.20000000670552254	-5.551115123125783e-17	[-146.6416992374945, 11.86490755412762]
25	Right	-1.0571051931905056	1.1868506765700895	0.20000000670552254	-5.551115123125783e-17	[-77.46926841923153, 8.623833120049476]
26	Left	-1.0571051931905056	1.3868506765700894	0.20000000670552254	-5.551115123125783e-17	[-95.99999999999983, 9.59999999999999]
27	Right	-1.1171051931905056	1.1868506765700895	0.20000000670552254	0.19999999999999996	[-266.6666666666662, 15.999999999999986]
28	Left	-1.2156430540199923	1.3709438322906342	0.20000000670552254	0.39999999999999997	[-37.814210965401244, 6.025084441465132]
29	Right	-1.1377593855582622	1.1867316334900573	0.20000000670552254	0.6	[-2250.2997454505958, 46.47889580909353]
30	Left	-1.2246185660858049	1.4907965653024644	0.20000000670552254	0.6	[-66.45789000249422, 7.987463577531634]
31	Right	-1.1612102083013784	1.2918508939168265	0.20000000670552254	0.6	[-82.75862068965525, 8.913376232498493]
32	Left	-1.215055964232534	1.618501524665035	0.20000000670552254	0.6	[-58.53658536585376, 7.496340570653097]
33	Right	-1.0738953458837752	1.4121676209376153	0.20000000670552254	0.6	[-43.438914027149366, 6.4576588223646025]
34	Left	-1.160754526411318	1.7162325527500224	0.20000000670552254	0.39999999999999997	[-76.79999999999995, 8.58650103359919]
35	Right	-1.0276071983094148	1.5553854544879644	0.20000000670552254	0.6	[-42.376733619633114, 6.378217954479745]
36	Left	-1.0910155560938413	1.7543311258736023	0.20000000670552254	0.8	[-152.0183944222108, 12.08046599454352]
37	Right	-0.7155661856741364	1.7103110139763429	0.30000000074505806	0.6000000000000001	[-6.261765494559219, 2.4685393484623357]
38	Left	-0.6386674889239176	2.0052459058391365	0.30000000074505806	0.6000000000000001	[-2.8403039498782454, 1.662547505256589]
39	Right	-0.5257389942449104	1.840178782857201	0.30000000074505806	0.4000000000000001	[-18.14744801512288, 4.173913043478262]
40	Left	-0.6425644969375056	2.1164970810580663	0.30000000074505806	0.20000000000000007	[-77.46926841923158, 8.623833120049479]
41	Right	-0.5241597030285128	1.8343972675533975	0.30000000074505806	5.551115123125783e-17	[-26725.998417076633, 160.17789635400248]
42	Left	-0.5241597030285128	2.0343972675533974	0.30000000074505806	-0.19999999999999996	[-46.242608400181716, 6.662800016822841]
43	Right	-0.5738270357272781	1.789380623093087	0.30000000074505806	5.551115123125783e-17	[-213.64942928409414, 14.321433312093115]
44	Left	-0.5738270357272781	2.039380623093087	0.30000000074505806	-0.19999999999999996	[-385.28256406918825, 19.232037372738766]
45	Right	-0.6135609018862903	1.8433673075248385	0.30000000074505806	-0.39999999999999997	[-213.64942928409602, 14.321433312093177]
46	Left	-0.5519990588338682	2.143050706264223	0.30000000074505806	-0.39999999999999997	[-85.53141100464983, 9.06146536518591]
47	Right	-0.7240882211666365	1.8900975086018763	0.30000000074505806	-0.6	[-66.66666666666676, 8.000000000000005]
48	Left	-0.5616395895930487	2.02128608318011	0.30000000074505806	-0.39999999999999997	[-64.34504701959794, 7.859468502310701]
49	Right	-0.5668880757699228	1.7520790004485236	0.30000000074505806	-0.39999999999999997	[-21.93734432301513, 4.58910127912803]
50	Left	-0.5442680669483658	1.9596562997876197	0.30000000074505806	-0.6	[-234.14634146341555, 14.99268114130621]
51	Right	-0.5368682746133826	1.6516867508490938	0.30000000074505806	-0.39999999999999997	[-87.43334836568239, 9.161660025948088]
52	Left	-0.2081987433001239	1.8384388303189696	0.3999999947845936	-0.6	[-5.95442063992946, 2.4071957634896815]
