i	f_sup	f_swg	f_swg_id	traj_params	h_max
0	[-2.4, 1.1, 0.000205, 1.5707963267948966]	[-2.2, 1.1, 0.000205, 1.5707963267948966]	Right	None
1	[-2.1, 1.1600000000000001, 0.0020500000937317964, 1.3707963267948966]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	0.02
2	[-2.3483260272695086, 1.445016112142004, 0.0020500000937317964, 1.5707963267948966]	[-2.1, 1.1600000000000001, 0.0020500000937317964, 1.3707963267948966]	Right	0.02
3	[-2.1483260272695084, 1.585016112142004, 0.0020500000937317964, 1.3707963267948966]	[-2.3483260272695086, 1.445016112142004, 0.0020500000937317964, 1.5707963267948966]	Left	0.02
4	[-2.381422511882115, 1.693487439511244, 0.0020500000937317964, 1.3707963267948966]	[-2.1483260272695084, 1.585016112142004, 0.0020500000937317964, 1.3707963267948966]	Right	0.02
5	[-2.059588832218434, 1.7710959611704995, 0.0020500000937317964, 1.5707963267948966]	[-2.381422511882115, 1.693487439511244, 0.0020500000937317964, 1.3707963267948966]	Left	0.02
6	[-2.259588832218434, 1.7110959611704994, 0.0020500000937317964, 1.3707963267948966]	[-2.059588832218434, 1.7710959611704995, 0.0020500000937317964, 1.5707963267948966]	Right	0.02
7	[-1.9457019257865555, 1.7495018197161052, 0.0020500000937317964, 1.5707963267948966]	[-2.259588832218434, 1.7110959611704994, 0.0020500000937317964, 1.3707963267948966]	Left	0.02
8	[-2.1457019257865557, 1.8095018197161052, 0.0020500000937317964, 1.5707963267948966]	[-1.9457019257865555, 1.7495018197161052, 0.0020500000937317964, 1.5707963267948966]	Right	0.02
9	[-1.8957019257865557, 1.7495018197161052, 0.0020500000937317964, 1.3707963267948966]	[-2.1457019257865557, 1.8095018197161052, 0.0020500000937317964, 1.5707963267948966]	Left	0.02
10	[-2.091715241354804, 1.7892356858751175, 0.0020500000937317964, 1.3707963267948966]	[-1.8957019257865557, 1.7495018197161052, 0.0020500000937317964, 1.3707963267948966]	Right	0.02
11	[-1.9076220856342592, 1.6906978250456308, 0.0020500000937317964, 1.1707963267948966]	[-2.091715241354804, 1.7892356858751175, 0.0020500000937317964, 1.3707963267948966]	Left	0.02
12	[-2.068469183896317, 1.8238451531475341, 0.0020500000937317964, 1.1707963267948966]	[-1.9076220856342592, 1.6906978250456308, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
13	[-1.7921508856954516, 1.707019650454939, 0.0020500000937317964, 1.1707963267948966]	[-2.068469183896317, 1.8238451531475341, 0.0020500000937317964, 1.1707963267948966]	Left	0.02
