i	f_sup	f_swg	f_swg_id	traj_h
0	[-2.4, 1.1, 0.000205, 1.5707963267948966]	[-2.2, 1.1, 0.000205, 1.5707963267948966]	Right	None
1	[-2.15, 1.04, 0.0020500000937317964, 1.7707963267948965]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	0.02
2	[-2.4638869064318785, 1.0784058585456058, 0.0020500000937317964, 1.7707963267948965]	[-2.15, 1.04, 0.0020500000937317964, 1.7707963267948965]	Right	0.02
3	[-2.4307771240034213, 1.1667446513126583, 0.0020500000937317964, 1.9707963267948965]	[-2.15, 1.04, 0.0020500000937317964, 1.7707963267948965]	Right	0.02
4	[-2.223876976041219, 1.319362896529994, 0.0020500000937317964, 2.1707963267948966]	[-2.4307771240034213, 1.1667446513126583, 0.0020500000937317964, 1.9707963267948965]	Left	0.02
5	[-2.3963323313649365, 1.1286821412866543, 0.0020500000937317964, 2.370796326794897]	[-2.223876976041219, 1.319362896529994, 0.0020500000937317964, 2.1707963267948966]	Right	0.02
6	[-2.1442789531068156, 1.3020865659956813, 0.0020500000937317964, 2.370796326794897]	[-2.3963323313649365, 1.1286821412866543, 0.0020500000937317964, 2.370796326794897]	Left	0.02
7	[-2.3102496004569937, 1.0450773361649945, 0.0020500000937317964, 2.370796326794897]	[-2.1442789531068156, 1.3020865659956813, 0.0020500000937317964, 2.370796326794897]	Right	0.02
8	[-2.1729731967427965, 1.329954834369568, 0.0020500000937317964, 2.570796326794897]	[-2.3102496004569937, 1.0450773361649945, 0.0020500000937317964, 2.370796326794897]	Left	0.02
9	[-2.2575605141213577, 1.0871689498155055, 0.0020500000937317964, 2.570796326794897]	[-2.1729731967427965, 1.329954834369568, 0.0020500000937317964, 2.570796326794897]	Right	0.02
10	[-2.300964830213151, 1.35271756183335, 0.0020500000937317964, 2.770796326794897]	[-2.2575605141213577, 1.0871689498155055, 0.0020500000937317964, 2.570796326794897]	Left	0.02
11	[-2.466640289705208, 1.202545520087572, 0.0020500000937317964, 2.9707963267948974]	[-2.300964830213151, 1.35271756183335, 0.0020500000937317964, 2.770796326794897]	Right	0.02
12	[-2.659300299022506, 1.4387279089523193, 0.0020500000937317964, 3.1707963267948975]	[-2.466640289705208, 1.202545520087572, 0.0020500000937317964, 2.9707963267948974]	Left	0.02
13	[-2.650540442332119, 1.1388558280398677, 0.0020500000937317964, 3.1707963267948975]	[-2.659300299022506, 1.4387279089523193, 0.0020500000937317964, 3.1707963267948975]	Right	0.02
14	[-2.599325882840015, 1.4404798802903966, 0.0020500000937317964, 3.3707963267948977]	[-2.650540442332119, 1.1388558280398677, 0.0020500000937317964, 3.1707963267948975]	Left	0.02
15	[-2.7551502095340736, 1.0960691092475279, 0.0020500000937317964, 3.1707963267948975]	[-2.599325882840015, 1.4404798802903966, 0.0020500000937317964, 3.3707963267948977]	Right	0.02
16	[-2.7134348107447384, 1.237061217005941, 0.0020500000937317964, 3.3707963267948977]	[-2.659300299022506, 1.4387279089523193, 0.0020500000937317964, 3.1707963267948975]	Right	0.02
17	[-2.7815954391526647, 1.5292155062693995, 0.0020500000937317964, 3.3707963267948977]	[-2.7134348107447384, 1.237061217005941, 0.0020500000937317964, 3.3707963267948977]	Left	0.02
18	[-2.7118044765653186, 1.494155250407075, 0.0020500000937317964, 3.1707963267948975]	[-2.7134348107447384, 1.237061217005941, 0.0020500000937317964, 3.3707963267948977]	Left	0.02
19	[-2.723164581299973, 1.5428476319509847, 0.0020500000937317964, 3.570796326794898]	[-2.7134348107447384, 1.237061217005941, 0.0020500000937317964, 3.3707963267948977]	Left	0.02
20	[-2.619127872163187, 1.3155232752445645, 0.0020500000937317964, 3.3707963267948977]	[-2.723164581299973, 1.5428476319509847, 0.0020500000937317964, 3.570796326794898]	Right	0.02
21	[-2.7100576148457556, 1.27390859158985, 0.0020500000937317964, 3.770796326794898]	[-2.723164581299973, 1.5428476319509847, 0.0020500000937317964, 3.570796326794898]	Right	0.02
22	[-2.8571828941595925, 1.4760326925447473, 0.0020500000937317964, 3.570796326794898]	[-2.7100576148457556, 1.27390859158985, 0.0020500000937317964, 3.770796326794898]	Left	0.02
23	[-2.7323388431954494, 1.2032434644970431, 0.0020500000937317964, 3.770796326794898]	[-2.8571828941595925, 1.4760326925447473, 0.0020500000937317964, 3.570796326794898]	Right	0.02
24	[-2.8500390666465187, 1.364942745260961, 0.0020500000937317964, 3.770796326794898]	[-2.7323388431954494, 1.2032434644970431, 0.0020500000937317964, 3.770796326794898]	Left	0.02
25	[-2.783763427714641, 1.103968532580529, 0.0020500000937317964, 3.570796326794898]	[-2.8500390666465187, 1.364942745260961, 0.0020500000937317964, 3.770796326794898]	Right	0.02
26	[-2.6544040031035068, 1.1981287113413845, 0.0020500000937317964, 3.770796326794898]	[-2.8500390666465187, 1.364942745260961, 0.0020500000937317964, 3.770796326794898]	Right	0.02
27	[-2.7235944423254006, 1.3951380591406233, 0.0020500000937317964, 3.570796326794898]	[-2.6544040031035068, 1.1981287113413845, 0.0020500000937317964, 3.770796326794898]	Left	0.02
28	[-2.844075927705375, 1.2070936521836126, 0.0020500000937317964, 3.3707963267948977]	[-2.8571828941595925, 1.4760326925447473, 0.0020500000937317964, 3.570796326794898]	Right	0.02
29	[-2.8077040306323475, 1.2237395256454984, 0.0020500000937317964, 3.3707963267948977]	[-2.8571828941595925, 1.4760326925447473, 0.0020500000937317964, 3.570796326794898]	Right	0.02
30	[-2.875864659040274, 1.515893814908957, 0.0020500000937317964, 3.1707963267948975]	[-2.8077040306323475, 1.2237395256454984, 0.0020500000937317964, 3.3707963267948977]	Left	0.02
31	[-2.867104802349887, 1.2160217339965054, 0.0020500000937317964, 3.1707963267948975]	[-2.875864659040274, 1.515893814908957, 0.0020500000937317964, 3.1707963267948975]	Right	0.02
32	[-2.8285113724597046, 1.2692043969867826, 0.0020500000937317964, 3.570796326794898]	[-2.8571828941595925, 1.4760326925447473, 0.0020500000937317964, 3.570796326794898]	Right	0.02
