i	f_sup	f_swg	f_swg_id	traj_params	h_max
61	[-2.7300198947965035, 1.4145951809617332, 0.0020500000937317964, 2.1707963267948966]	[-2.352551441442742, 1.3941607315510178, 0.0020500000937317964, 2.1707963267948966]	Right	[-27.00950713200134, 5.092065086654066]	0.24
62	[-2.448540661919898, 1.534467786085663, 0.0020500000937317964, 2.370796326794897]	[-2.7300198947965035, 1.4145951809617332, 0.0020500000937317964, 2.1707963267948966]	Left	[-33.21799307958482, 5.647058823529416]	0.24
63	[-2.665758704710661, 1.3969311659216122, 0.0020500000937317964, 2.370796326794897]	[-2.448540661919898, 1.534467786085663, 0.0020500000937317964, 2.370796326794897]	Right	[-216.1423199519573, 14.404743217214216]	0.24
64	[-2.6944529483466417, 1.4247994342954988, 0.0020500000937317964, 2.570796326794897]	[-2.448540661919898, 1.534467786085663, 0.0020500000937317964, 2.370796326794897]	Right	[-701.1729117432453, 25.944671808938256]	0.24
65	[-2.8225445756309377, 1.4795035019656542, 0.0020500000937317964, 2.370796326794897]	[-2.448540661919898, 1.534467786085663, 0.0020500000937317964, 2.370796326794897]	Right	[-75.15320274497512, 8.49394340899303]	0.24
66	[-2.7201035073840987, 1.7285131956252515, 0.0020500000937317964, 2.370796326794897]	[-2.8225445756309377, 1.4795035019656542, 0.0020500000937317964, 2.370796326794897]	Left	[-8.617594254937165, 2.876263285017503]	0.24
67	[-2.516297758727302, 1.6335080598748246, 0.0020500000937317964, 2.1707963267948966]	[-2.7300198947965035, 1.4145951809617332, 0.0020500000937317964, 2.1707963267948966]	Left	[-11.414982164090368, 3.310344827586207]	0.24
68	[-2.681364881709238, 1.5205795651958176, 0.0020500000937317964, 2.1707963267948966]	[-2.516297758727302, 1.6335080598748246, 0.0020500000937317964, 2.1707963267948966]	Right	[-70.58823529411751, 8.231932086840416]	0.24
69	[-2.8524994313355796, 1.6821746329552918, 0.0020500000937317964, 1.9707963267948967]	[-2.516297758727302, 1.6335080598748246, 0.0020500000937317964, 2.1707963267948966]	Right	[-11.085450346420325, 3.2622127969468075]	0.24
70	[-2.576181133134714, 1.799000135647887, 0.0020500000937317964, 2.1707963267948966]	[-2.8524994313355796, 1.6821746329552918, 0.0020500000937317964, 1.9707963267948967]	Left	[-30.99409123811641, 5.454752752287838]	0.24
71	[-2.775126804520352, 1.7355917778634606, 0.0020500000937317964, 2.1707963267948966]	[-2.576181133134714, 1.799000135647887, 0.0020500000937317964, 2.1707963267948966]	Right	[-108.59833234855941, 10.210504348689982]	0.24
72	[-2.8163935852658355, 1.7073596541937088, 0.0020500000937317964, 2.370796326794897]	[-2.576181133134714, 1.799000135647887, 0.0020500000937317964, 2.1707963267948966]	Right	[-495.3771468662401, 21.80738546895502]	0.24
73	[-2.8202982023919545, 1.8016186270562349, 0.0020500000937317964, 1.9707963267948967]	[-2.576181133134714, 1.799000135647887, 0.0020500000937317964, 2.1707963267948966]	Right	[-62.72957196886668, 7.760179707333587]	0.24
74	[-2.566667853352714, 1.8437095529932244, 0.0020500000937317964, 2.1707963267948966]	[-2.8202982023919545, 1.8016186270562349, 0.0020500000937317964, 1.9707963267948967]	Left	[-459.4544619001601, 21.001816193466546]	0.24
75	[-2.8107849226099546, 1.8463280444015722, 0.0020500000937317964, 1.9707963267948967]	[-2.566667853352714, 1.8437095529932244, 0.0020500000937317964, 2.1707963267948966]	Right	[-459.4544619001601, 21.001816193466546]	0.24
76	[-2.8520517033554387, 1.8180959207318206, 0.0020500000937317964, 2.1707963267948966]	[-2.566667853352714, 1.8437095529932244, 0.0020500000937317964, 2.1707963267948966]	Right	[-750.1253938268461, 26.8350587492141]	0.24
77	[-2.52061480365257, 1.863180470108657, 0.0020500000937317964, 1.7707963267948967]	[-2.8202982023919545, 1.8016186270562349, 0.0020500000937317964, 1.9707963267948967]	Left	[-133.20877750912442, 11.308422808188569]	0.24
78	[-2.7537112882651766, 1.754709142739417, 0.0020500000937317964, 1.9707963267948967]	[-2.52061480365257, 1.863180470108657, 0.0020500000937317964, 1.7707963267948967]	Right	[-144.70216322876078, 11.786181599636514]	0.24
