i	f_sup	f_swg	f_swg_id	traj_params	h_max
63	[-2.081197222736029, 6.742587410189761, 0.4999999888241291, 1.7707963267948967]	[-2.331197222736029, 6.602587410189761, 0.4999999888241291, 1.5707963267948968]	Left	[-14.158574596161047, 3.6867643825330907]	0.24
64	[-2.354027573507648, 6.830129398388769, 0.4999999888241291, 1.9707963267948967]	[-2.081197222736029, 6.742587410189761, 0.4999999888241291, 1.7707963267948967]	Right	[-18.356840465555095, 4.197924111621468]	0.24
65	[-2.213328543737916, 7.139328012586596, 0.600000012665987, 1.9707963267948967]	[-2.354027573507648, 6.830129398388769, 0.4999999888241291, 1.9707963267948967]	Left	[-4.346289406333711, 2.056605426289206]	0.24
66	[-2.544165409861993, 7.151451049054405, 0.600000012665987, 1.7707963267948967]	[-2.213328543737916, 7.139328012586596, 0.600000012665987, 1.9707963267948967]	Right	[-5.4519365302459315, 2.3033877473669637]	0.24
67	[-2.3349092449447935, 7.377530365764594, 0.600000012665987, 1.7707963267948967]	[-2.544165409861993, 7.151451049054405, 0.600000012665987, 1.7707963267948967]	Left	[-13.422400662115612, 3.589638510439594]	0.24
68	[-2.576616506595906, 7.563211812509067, 0.600000012665987, 1.5707963267948968]	[-2.3349092449447935, 7.377530365764594, 0.600000012665987, 1.7707963267948967]	Right	[-5.627198124267286, 2.3242440059719622]	0.24
69	[-2.376616506595906, 7.663211812509067, 0.600000012665987, 1.3707963267948968]	[-2.576616506595906, 7.563211812509067, 0.600000012665987, 1.5707963267948968]	Left	[-11.517228767472359, 3.325137533512481]	0.24
70	[-2.64282277363697, 7.860021932645359, 0.600000012665987, 1.3707963267948968]	[-2.376616506595906, 7.663211812509067, 0.600000012665987, 1.3707963267948968]	Right	[-10.380677029394679, 3.1568100906166165]	0.24
71	[-2.360722960132301, 7.741617138736366, 0.600000012665987, 1.1707963267948969]	[-2.64282277363697, 7.860021932645359, 0.600000012665987, 1.3707963267948968]	Left	[-149.99999999999963, 11.999999999999984]	0.24
72	[-2.5909882086330227, 7.838971724313529, 0.600000012665987, 0.9707963267948969]	[-2.360722960132301, 7.741617138736366, 0.600000012665987, 1.1707963267948969]	Right	[-306.7157914643485, 17.159462689891384]	0.24
73	[-2.2830186596944966, 7.846371516648512, 0.600000012665987, 0.9707963267948969]	[-2.5909882086330227, 7.838971724313529, 0.600000012665987, 0.9707963267948969]	Left	[-56.4326190470518, 7.3603881884836575]	0.24
74	[-2.3182180137955744, 8.149127202756745, 0.7000000365078449, 0.770796326794897]	[-2.2830186596944966, 7.846371516648512, 0.600000012665987, 0.9707963267948969]	Right	[-4.454864902205663, 2.082135197626662]	0.24
75	[-2.013884771019251, 8.165898527726688, 0.7000000365078449, 0.770796326794897]	[-2.3182180137955744, 8.149127202756745, 0.7000000365078449, 0.770796326794897]	Left	[-4.354537959711532, 2.058556053242309]	0.24
76	[-2.222896783823401, 8.381105354996544, 0.7000000365078449, 0.9707963267948969]	[-2.013884771019251, 8.165898527726688, 0.7000000365078449, 0.770796326794897]	Right	[-15.262321144674221, 3.8277706695787366]	0.24
77	[-1.9600986327564778, 8.322478298138753, 0.7000000365078449, 0.770796326794897]	[-2.222896783823401, 8.381105354996544, 0.7000000365078449, 0.9707963267948969]	Left	[-35.02349270078903, 5.798495752585964]	0.24
78	[-2.1691106455606275, 8.53768512540861, 0.7000000365078449, 0.770796326794897]	[-1.9600986327564778, 8.322478298138753, 0.7000000365078449, 0.770796326794897]	Right	[-35.02349270078903, 5.798495752585964]	0.24
