i	f_sup	f_swg	f_swg_id	traj_params	h_max
0	[3.3, -0.1, 0.000205, 3.141592653589793]	[3.3, 0.1, 0.000205, 3.141592653589793]	Right	None	None
1	[3.1999999999999997, 0.15, 0.0020500000937317964, 3.141592653589793]	[3.3, -0.1, 0.000205, 3.141592653589793]	Left	[-76.50479998500282, 8.569998851086876]	0.24
2	[3.36, 0.1, 0.0020500000937317964, 3.141592653589793]	[3.3, -0.1, 0.000205, 3.141592653589793]	Left	[-265.64166661459296, 15.969249998437789]	0.24
3	[3.3, -0.1, 0.0020500000937317964, 3.3415926535897933]	[3.36, 0.1, 0.0020500000937317964, 3.141592653589793]	Right	[0]	0
4	[3.26, -0.19999999999999998, 0.0020500000937317964, 2.941592653589793]	[3.36, 0.1, 0.0020500000937317964, 3.141592653589793]	Right	[-82.44051722521867, 8.896245836681379]	0.24
5	[3.1233218821475885, 0.031773795111359415, 0.0020500000937317964, 3.141592653589793]	[3.26, -0.19999999999999998, 0.0020500000937317964, 2.941592653589793]	Left	[-15.82295523871359, 3.897439804431243]	0.24
6	[3.2607968045680438, 0.10594013320007614, 0.0020500000937317964, 3.141592653589793]	[3.26, -0.19999999999999998, 0.0020500000937317964, 2.941592653589793]	Left	[-97.19984296466424, 9.65980585964737]	0.24
7	[3.1724580118009915, 0.07283035077161906, 0.0020500000937317964, 3.141592653589793]	[3.26, -0.19999999999999998, 0.0020500000937317964, 2.941592653589793]	Left	[-26.73336107307748, 5.065967492015161]	0.24
8	[3.1823914783407443, 0.12183367966368111, 0.0020500000937317964, 2.941592653589793]	[3.26, -0.19999999999999998, 0.0020500000937317964, 2.941592653589793]	Left	[-29.97986052873584, 5.36476151451175]	0.24
9	[3.063986684431751, -0.16026613384098767, 0.0020500000937317964, 2.941592653589793]	[3.1823914783407443, 0.12183367966368111, 0.0020500000937317964, 2.941592653589793]	Right	[-23.999999999999925, 4.799999999999992]	0.24
10	[2.9563121616305557, -0.08742248525351823, 0.0020500000937317964, 3.141592653589793]	[3.1823914783407443, 0.12183367966368111, 0.0020500000937317964, 2.941592653589793]	Right	[-9.151572926596764, 2.964036101253305]	0.24
11	[3.3784047939089925, 0.0820998135046688, 0.0020500000937317964, 3.141592653589793]	[3.26, -0.19999999999999998, 0.0020500000937317964, 2.941592653589793]	Left	[-1456.4142648665854, 37.39194691737677]	0.24
12	[3.3184047939089925, -0.1679001864953312, 0.0020500000937317964, 3.3415926535897933]	[3.3784047939089925, 0.0820998135046688, 0.0020500000937317964, 3.141592653589793]	Right	[-216.14231995195792, 14.404743217214238]	0.24
13	[3.0941854863350327, 0.13971391943523662, 0.0020500000937317964, 2.941592653589793]	[3.26, -0.19999999999999998, 0.0020500000937317964, 2.941592653589793]	Left	[-13.290038987645818, 3.5718954951313995]	0.24
14	[2.8973753661987405, -0.1264923476058272, 0.0020500000937317964, 2.7415926535897928]	[3.0941854863350327, 0.13971391943523662, 0.0020500000937317964, 2.941592653589793]	Right	[-7.012417823228636, 2.5945945945945947]	0.24
15	[3.1132556148464947, -0.06821955598071541, 0.0020500000937317964, 2.941592653589793]	[3.0941854863350327, 0.13971391943523662, 0.0020500000937317964, 2.941592653589793]	Right	[-24.678663239074524, 4.867393215008578]	0.24
16	[3.1799999999999997, -0.19999999999999998, 0.0020500000937317964, 3.141592653589793]	[3.36, 0.1, 0.0020500000937317964, 3.141592653589793]	Right	[-39.19303277920228, 6.133958834005138]	0.24
