i	f_sup	f_swg	f_swg_id	traj_params	h_max
24	[-2.5273420492062657, 3.6053307556470977, 0.20000000670552254, 1.1707963267948966]	[-2.3511956667175236, 3.4675902317039613, 0.20000000670552254, 1.3707963267948966]	Right	[-16.83439525014276, 4.020077044054884]	0.24
25	[-2.2581349664746795, 3.6000822694702235, 0.20000000670552254, 1.3707963267948966]	[-2.5273420492062657, 3.6053307556470977, 0.20000000670552254, 1.1707963267948966]	Left	[-36.62104625101059, 5.929266767566641]	0.24
26	[-2.5640750996747554, 3.6008790740382675, 0.20000000670552254, 1.1707963267948966]	[-2.2581349664746795, 3.6000822694702235, 0.20000000670552254, 1.3707963267948966]	Right	[-701.1729117432415, 25.944671808938185]	0.24
27	[-2.3409210666433133, 3.615101504976826, 0.20000000670552254, 1.3707963267948966]	[-2.5640750996747554, 3.6008790740382675, 0.20000000670552254, 1.1707963267948966]	Left	[-135.61015597243969, 11.409897008016422]	0.24
28	[-2.5660707780241174, 3.7627754954597155, 0.20000000670552254, 1.1707963267948966]	[-2.3409210666433133, 3.615101504976826, 0.20000000670552254, 1.3707963267948966]	Right	[-36.621046251010476, 5.929266767566632]	0.24
29	[-2.281286961600185, 3.7943694490429567, 0.20000000670552254, 1.3707963267948966]	[-2.5660707780241174, 3.7627754954597155, 0.20000000670552254, 1.1707963267948966]	Left	[-26.8958625581254, 5.081341167034584]	0.24
30	[-2.5263036060604955, 3.844036781741722, 0.20000000670552254, 1.1707963267948966]	[-2.281286961600185, 3.7943694490429567, 0.20000000670552254, 1.3707963267948966]	Right	[-117.29023470284169, 10.611249941205232]	0.24
31	[-2.2570965233289093, 3.838788295564848, 0.20000000670552254, 1.3707963267948966]	[-2.5263036060604955, 3.844036781741722, 0.20000000670552254, 1.1707963267948966]	Left	[-375.26221005823, 18.980298249919596]	0.24
32	[-2.505422550598418, 4.123804407706852, 0.30000000074505806, 1.5707963267948966]	[-2.2570965233289093, 3.838788295564848, 0.20000000670552254, 1.3707963267948966]	Right	[-9.656195997454248, 3.0654532048148804]	0.24
33	[-2.255422550598418, 4.223804407706852, 0.30000000074505806, 1.5707963267948966]	[-2.505422550598418, 4.123804407706852, 0.30000000074505806, 1.5707963267948966]	Left	[-5.1268142301314805, 2.233651659010844]	0.24
34	[-2.5554225505984176, 4.403804407706851, 0.30000000074505806, 1.3707963267948966]	[-2.255422550598418, 4.223804407706852, 0.30000000074505806, 1.5707963267948966]	Right	[-11.866501854140967, 3.3751802588862314]	0.24
35	[-2.3474890751824655, 4.4228745362183135, 0.30000000074505806, 1.1707963267948966]	[-2.5554225505984176, 4.403804407706851, 0.30000000074505806, 1.3707963267948966]	Left	[-19.956278697612863, 4.37698841096345]	0.24
36	[-2.56928880546012, 4.668648578071313, 0.30000000074505806, 1.1707963267948966]	[-2.3474890751824655, 4.4228745362183135, 0.30000000074505806, 1.1707963267948966]	Right	[-13.649022406698148, 3.6198151210290037]	0.24
37	[-2.2384519393360436, 4.680771614539122, 0.30000000074505806, 1.3707963267948966]	[-2.56928880546012, 4.668648578071313, 0.30000000074505806, 1.1707963267948966]	Left	[-12.244897959183637, 3.4285714285714235]	0.24
38	[-2.4636016507168477, 4.8284456050220115, 0.30000000074505806, 1.1707963267948966]	[-2.2384519393360436, 4.680771614539122, 0.30000000074505806, 1.3707963267948966]	Right	[-26.15457141926564, 5.010827133567373]	0.24
39	[-2.132764784592771, 4.840568641489821, 0.30000000074505806, 1.1707963267948966]	[-2.4636016507168477, 4.8284456050220115, 0.30000000074505806, 1.1707963267948966]	Left	[-26.15457141926564, 5.010827133567373]	0.24
40	[-2.319516864062647, 5.169238172803079, 0.3999999947845936, 1.1707963267948966]	[-2.132764784592771, 4.840568641489821, 0.30000000074505806, 1.1707963267948966]	Right	[-5.551497530466962, 2.324324340433685]	0.24
41	[-2.0652093636465128, 5.257145483261868, 0.3999999947845936, 1.1707963267948966]	[-2.319516864062647, 5.169238172803079, 0.3999999947845936, 1.1707963267948966]	Left	[-4.267265648068107, 2.0378231637663524]	0.24
42	[-2.2519614431163886, 5.585815014575127, 0.3999999947845936, 0.9707963267948967]	[-2.0652093636465128, 5.257145483261868, 0.3999999947845936, 1.1707963267948966]	Right	[-5.390230207748462, 2.2747793298336707]	0.24
43	[-2.004360758643485, 5.416422272556616, 0.3999999947845936, 0.9707963267948967]	[-2.2519614431163886, 5.585815014575127, 0.3999999947845936, 0.9707963267948967]	Left	[-33.021863391104496, 5.630363119325459]	0.24
44	[-2.195497195776885, 5.668348576066094, 0.3999999947845936, 0.9707963267948967]	[-2.004360758643485, 5.416422272556616, 0.3999999947845936, 0.9707963267948967]	Right	[-96.00000000000084, 9.600000000000042]	0.24
45	[-1.9891632920494653, 5.527187957717335, 0.3999999947845936, 1.1707963267948966]	[-2.195497195776885, 5.668348576066094, 0.3999999947845936, 0.9707963267948967]	Left	[-76.80000000000071, 8.586501033599232]	0.24
46	[-2.1967405913885614, 5.549807966538892, 0.3999999947845936, 1.3707963267948966]	[-1.9891632920494653, 5.527187957717335, 0.3999999947845936, 1.1707963267948966]	Right	[-68.31076377376895, 8.098045024746293]	0.24
47	[-1.980860342740807, 5.608080758164004, 0.3999999947845936, 1.3707963267948966]	[-2.1967405913885614, 5.549807966538892, 0.3999999947845936, 1.3707963267948966]	Left	[-145.17773701389504, 11.805533767404981]	0.24
48	[-2.286800475940883, 5.608877562732047, 0.3999999947845936, 1.5707963267948966]	[-1.980860342740807, 5.608080758164004, 0.3999999947845936, 1.3707963267948966]	Right	[-82.75862068965554, 8.913376232498509]	0.24
49	[-2.036800475940883, 5.788877562732047, 0.3999999947845936, 1.7707963267948965]	[-2.286800475940883, 5.608877562732047, 0.3999999947845936, 1.5707963267948966]	Left	[-26.80307717218496, 5.072568785664474]	0.24
50	[-2.3308204492932556, 5.729276763493528, 0.3999999947845936, 1.5707963267948966]	[-2.036800475940883, 5.788877562732047, 0.3999999947845936, 1.7707963267948965]	Right	[-58.416455494421015, 7.488644555234557]	0.24
51	[-2.0808204492932556, 5.869276763493528, 0.3999999947845936, 1.5707963267948966]	[-2.3308204492932556, 5.729276763493528, 0.3999999947845936, 1.5707963267948966]	Left	[-114.2613720290266, 10.4733431695837]	0.24
52	[-2.3808204492932554, 5.869276763493528, 0.3999999947845936, 1.5707963267948966]	[-2.0808204492932556, 5.869276763493528, 0.3999999947845936, 1.5707963267948966]	Right	[-43.43891402714953, 6.457658822364615]	0.24
53	[-2.1308204492932554, 5.8092767634935285, 0.3999999947845936, 1.7707963267948965]	[-2.3808204492932554, 5.869276763493528, 0.3999999947845936, 1.5707963267948966]	Left	[-157.37704918032952, 12.291540473558078]	0.24
54	[-2.395704026833072, 5.8576160885788875, 0.3999999947845936, 1.9707963267948965]	[-2.1308204492932554, 5.8092767634935285, 0.3999999947845936, 1.7707963267948965]	Right	[-2685.3731261799126, 50.77359748070562]	0.24
55	[-2.2550049970633403, 6.166814702776714, 0.4999999888241291, 1.9707963267948965]	[-2.395704026833072, 5.8576160885788875, 0.3999999947845936, 1.9707963267948965]	Left	[-5.305218368251196, 2.272182899537395]	0.24
56	[-2.5093124974794745, 6.254722013235503, 0.4999999888241291, 1.9707963267948965]	[-2.2550049970633403, 6.166814702776714, 0.4999999888241291, 1.9707963267948965]	Right	[-4.454865251588101, 2.0821352697806916]	0.24
57	[-2.3951956002944543, 6.498396660617752, 0.4999999888241291, 1.9707963267948965]	[-2.5093124974794745, 6.254722013235503, 0.4999999888241291, 1.9707963267948965]	Left	[-7.407407407407419, 2.6666666666666687]	0.24
58	[-2.679979416718387, 6.529990614200994, 0.4999999888241291, 1.7707963267948965]	[-2.3951956002944543, 6.498396660617752, 0.4999999888241291, 1.9707963267948965]	Right	[-9.151572926596737, 2.964036101253301]	0.24
59	[-2.413773149677323, 6.726800734337286, 0.4999999888241291, 1.7707963267948965]	[-2.679979416718387, 6.529990614200994, 0.4999999888241291, 1.7707963267948965]	Left	[-18.280997359139988, 4.189243065850248]	0.24
60	[-2.629653398325077, 6.785073525962398, 0.4999999888241291, 1.9707963267948965]	[-2.413773149677323, 6.726800734337286, 0.4999999888241291, 1.7707963267948965]	Right	[-14.201183431952673, 3.6923076923076934]	0.24
61	[-2.3299699995856926, 6.84663536901482, 0.4999999888241291, 1.7707963267948965]	[-2.629653398325077, 6.785073525962398, 0.4999999888241291, 1.9707963267948965]	Left	[-44.89483182164528, 6.564985799587038]	0.24
62	[-2.5630664841982993, 6.73816404164558, 0.4999999888241291, 1.5707963267948966]	[-2.3299699995856926, 6.84663536901482, 0.4999999888241291, 1.7707963267948965]	Right	[-144.70216322876033, 11.786181599636496]	0.24
63	[-2.3130664841982993, 6.73816404164558, 0.4999999888241291, 1.5707963267948966]	[-2.5630664841982993, 6.73816404164558, 0.4999999888241291, 1.5707963267948966]	Left	[-79.65643057212323, 8.744722599902087]	0.24
64	[-2.5630664841982993, 6.838164041645579, 0.4999999888241291, 1.3707963267948966]	[-2.3130664841982993, 6.73816404164558, 0.4999999888241291, 1.5707963267948966]	Right	[-96.00000000000068, 9.600000000000033]	0.24
65	[-2.355133008782347, 6.857234170157041, 0.4999999888241291, 1.5707963267948966]	[-2.5630664841982993, 6.838164041645579, 0.4999999888241291, 1.3707963267948966]	Left	[-60.198323397818385, 7.601999109570169]	0.24
66	[-2.5551330087823474, 6.857234170157041, 0.4999999888241291, 1.7707963267948965]	[-2.355133008782347, 6.857234170157041, 0.4999999888241291, 1.5707963267948966]	Right	[-2250.2997454506253, 46.478895809093835]	0.24
67	[-2.355810310404901, 7.132316815759292, 0.600000012665987, 1.5707963267948966]	[-2.5551330087823474, 6.857234170157041, 0.4999999888241291, 1.7707963267948965]	Left	[-10.043487588070082, 3.126323609021924]	0.24
68	[-2.555810310404901, 7.312316815759292, 0.600000012665987, 1.7707963267948965]	[-2.355810310404901, 7.132316815759292, 0.600000012665987, 1.5707963267948966]	Right	[-3.669712613993778, 1.8897644900297401]	0.24
69	[-2.249870177204825, 7.313113620327336, 0.600000012665987, 1.5707963267948966]	[-2.555810310404901, 7.312316815759292, 0.600000012665987, 1.7707963267948965]	Left	[-21.862504884490853, 4.581266712287249]	0.24
70	[-2.499870177204825, 7.453113620327335, 0.600000012665987, 1.5707963267948966]	[-2.249870177204825, 7.313113620327336, 0.600000012665987, 1.5707963267948966]	Right	[-41.824527611576315, 6.336524797324892]	0.24
71	[-2.249870177204825, 7.553113620327335, 0.600000012665987, 1.3707963267948966]	[-2.499870177204825, 7.453113620327335, 0.600000012665987, 1.5707963267948966]	Left	[-16.66666666666676, 4.0000000000000115]	0.24
72	[-2.467073115353827, 7.739990273923874, 0.600000012665987, 1.3707963267948966]	[-2.249870177204825, 7.553113620327335, 0.600000012665987, 1.3707963267948966]	Right	[-11.514400089680818, 3.3247291748492214]	0.24
73	[-2.1531862089219485, 7.778396132469481, 0.600000012665987, 1.1707963267948966]	[-2.467073115353827, 7.739990273923874, 0.600000012665987, 1.3707963267948966]	Left	[-15.973377703826888, 3.915921678950412]	0.24
74	[-2.3373984077225254, 7.856279800931211, 0.600000012665987, 1.1707963267948966]	[-2.1531862089219485, 7.778396132469481, 0.600000012665987, 1.1707963267948966]	Right	[-31.642665818566854, 5.5115296593436]	0.24
75	[-2.068191324990939, 7.851031314754337, 0.600000012665987, 0.9707963267948967]	[-2.3373984077225254, 7.856279800931211, 0.600000012665987, 1.1707963267948966]	Left	[-76.7999999999995, 8.586501033599165]	0.24
76	[-2.1728895835072524, 8.140752343786838, 0.7000000365078449, 0.9707963267948967]	[-2.068191324990939, 7.851031314754337, 0.600000012665987, 0.9707963267948967]	Right	[-7.037832855706391, 2.6170446414487616]	0.24
77	[-1.9287725142500118, 8.143370835195187, 0.7000000365078449, 1.1707963267948966]	[-2.1728895835072524, 8.140752343786838, 0.7000000365078449, 0.9707963267948967]	Left	[-7.244994778992192, 2.655282267093446]	0.24
78	[-2.120095928519868, 8.332831520172638, 0.7000000365078449, 1.3707963267948966]	[-1.9287725142500118, 8.143370835195187, 0.7000000365078449, 1.1707963267948966]	Right	[-24.19258506861582, 4.819220026712952]	0.24
79	[-1.8869994439072615, 8.224360192803399, 0.7000000365078449, 1.5707963267948966]	[-2.120095928519868, 8.332831520172638, 0.7000000365078449, 1.3707963267948966]	Left	[-115.60324095963378, 10.534662373386649]	0.24
80	[-2.1869994439072613, 8.324360192803399, 0.7000000365078449, 1.7707963267948965]	[-1.8869994439072615, 8.224360192803399, 0.7000000365078449, 1.5707963267948966]	Right	[-211.08904592141553, 14.235360342631264]	0.24
81	[-1.8810593107071851, 8.325156997371442, 0.7000000365078449, 1.5707963267948966]	[-2.1869994439072613, 8.324360192803399, 0.7000000365078449, 1.7707963267948965]	Left	[-94.16121052535199, 9.507616005305321]	0.24
82	[-2.131059310707185, 8.425156997371442, 0.7000000365078449, 1.7707963267948965]	[-1.8810593107071851, 8.325156997371442, 0.7000000365078449, 1.5707963267948966]	Right	[-72.23859878095108, 8.32760798967585]	0.24
83	[-1.9350459951389365, 8.464890863530455, 0.7000000365078449, 1.9707963267948965]	[-2.131059310707185, 8.425156997371442, 0.7000000365078449, 1.7707963267948965]	Left	[-42.78052856895267, 6.4085339529563665]	0.24
84	[-2.281459594955359, 8.513856339758378, 0.7000000365078449, 1.9707963267948965]	[-1.9350459951389365, 8.464890863530455, 0.7000000365078449, 1.9707963267948965]	Right	[-31.487985578148145, 5.498042029215693]	0.24
85	[-2.167342697770339, 8.757530987140628, 0.7000000365078449, 1.9707963267948965]	[-2.281459594955359, 8.513856339758378, 0.7000000365078449, 1.9707963267948965]	Left	[-6.876790830945575, 2.5693810923465112]	0.24
86	[-2.533227214702194, 8.852549513068697, 0.7000000365078449, 1.7707963267948965]	[-2.167342697770339, 8.757530987140628, 0.7000000365078449, 1.9707963267948965]	Right	[-5.390230207748452, 2.2747793298336685]	0.24
87	[-2.3339045163247474, 9.127632158670947, 0.7270511901842838, 1.5707963267948966]	[-2.533227214702194, 8.852549513068697, 0.7000000365078449, 1.7707963267948965]	Left	[-5.499697977367717, 2.298728474067306]	0.24
88	[-2.5839045163247474, 9.267632158670947, 0.7270511901842838, 1.5707963267948966]	[-2.3339045163247474, 9.127632158670947, 0.7270511901842838, 1.5707963267948966]	Right	[-5.1806497260618105, 2.2310554802230227]	0.24
89	[-2.383904516324747, 9.327632158670948, 0.7270511901842838, 1.5707963267948966]	[-2.5839045163247474, 9.267632158670947, 0.7270511901842838, 1.5707963267948966]	Left	[-22.588235294117432, 4.656684000697571]	0.24
90	[-2.633904516324747, 9.327632158670948, 0.7270511901842838, 1.7707963267948965]	[-2.383904516324747, 9.327632158670948, 0.7270511901842838, 1.5707963267948966]	Right	[-157.37704918032676, 12.291540473557971]	0.24
91	[-2.483585146839363, 9.592781337733445, 0.7270511901842838, 1.9707963267948965]	[-2.633904516324747, 9.327632158670948, 0.7270511901842838, 1.7707963267948965]	Left	[-11.964060671017503, 3.389026149821922]	0.24
