i	f_sup	f_swg	f_swg_id	traj_params	h_max
0	[-2.4, 1.1, 0.000205, 1.5707963267948966]	[-2.2, 1.1, 0.000205, 1.5707963267948966]	Right	None	None
1	[-2.1999999999999997, 1.1600000000000001, 0.0020500000937317964, 1.5707963267948966]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	[-265.64166661459296, 15.969249998437789]	0.24
2	[-2.4, 1.34, 0.0020500000937317964, 1.7707963267948965]	[-2.1999999999999997, 1.1600000000000001, 0.0020500000937317964, 1.5707963267948966]	Right	[-16.602604163412092, 3.992312499609451]	0.24
3	[-2.133793732958936, 1.5368101201362923, 0.0020500000937317964, 1.5707963267948966]	[-2.4, 1.34, 0.0020500000937317964, 1.7707963267948965]	Left	[-6.558759745377064, 2.509264704163748]	0.24
4	[-2.433793732958936, 1.7668101201362922, 0.0020500000937317964, 1.7707963267948965]	[-2.133793732958936, 1.5368101201362923, 0.0020500000937317964, 1.5707963267948966]	Right	[-5.237061735605891, 2.2422264083231327]	0.24
5	[-2.176856928650922, 1.757673458164583, 0.0020500000937317964, 1.9707963267948965]	[-2.433793732958936, 1.7668101201362922, 0.0020500000937317964, 1.7707963267948965]	Left	[-18.959198121908834, 4.266243101023719]	0.24
6	[-2.4772174787672, 1.8261098515079397, 0.0020500000937317964, 1.9707963267948965]	[-2.176856928650922, 1.757673458164583, 0.0020500000937317964, 1.9707963267948965]	Right	[-177.70933201592803, 13.061430194863458]	0.24
7	[-2.2904653992973243, 2.1547793828211983, 0.10000000149011612, 1.7707963267948965]	[-2.4772174787672, 1.8261098515079397, 0.0020500000937317964, 1.9707963267948965]	Left	[-4.478897990663726, 2.0870984813568683]	0.24
8	[-2.514292421176881, 2.25225483755996, 0.10000000149011612, 1.7707963267948965]	[-2.2904653992973243, 2.1547793828211983, 0.10000000149011612, 1.7707963267948965]	Right	[-4.1760008392052, 2.015290441636307]	0.24
9	[-2.2659663939073726, 2.5372709497019637, 0.10000000149011612, 1.7707963267948965]	[-2.514292421176881, 2.25225483755996, 0.10000000149011612, 1.7707963267948965]	Left	[-6.535057862491494, 2.5047266413706377]	0.24
10	[-2.587800073571054, 2.614879471361219, 0.10000000149011612, 1.5707963267948966]	[-2.2659663939073726, 2.5372709497019637, 0.10000000149011612, 1.7707963267948965]	Right	[-7.012417823228636, 2.5945945945945947]	0.24
11	[-2.3878000735710536, 2.7948794713612193, 0.10000000149011612, 1.7707963267948965]	[-2.587800073571054, 2.614879471361219, 0.10000000149011612, 1.5707963267948966]	Left	[-11.821845391117446, 3.368823470512034]	0.24
12	[-2.701686980002932, 2.833285329906825, 0.10000000149011612, 1.7707963267948965]	[-2.3878000735710536, 2.7948794713612193, 0.10000000149011612, 1.7707963267948965]	Right	[-15.8229552387136, 3.897439804431244]	0.24
13	[-2.49375350458698, 2.814215201395363, 0.10000000149011612, 1.5707963267948966]	[-2.701686980002932, 2.833285329906825, 0.10000000149011612, 1.7707963267948965]	Left	[-82.75862068965534, 8.913376232498498]	0.24
14	[-2.6937535045869803, 2.754215201395363, 0.10000000149011612, 1.5707963267948966]	[-2.49375350458698, 2.814215201395363, 0.10000000149011612, 1.5707963267948966]	Right	[-152.01839442221103, 12.080465994543529]	0.24
15	[-2.3937535045869804, 2.854215201395363, 0.10000000149011612, 1.5707963267948966]	[-2.6937535045869803, 2.754215201395363, 0.10000000149011612, 1.5707963267948966]	Left	[-82.75862068965566, 8.913376232498516]	0.24
16	[-2.6437535045869804, 2.854215201395363, 0.10000000149011612, 1.5707963267948966]	[-2.3937535045869804, 2.854215201395363, 0.10000000149011612, 1.5707963267948966]	Right	[-76.8, 8.586501033599193]	0.24
17	[-2.3437535045869806, 2.854215201395363, 0.10000000149011612, 1.7707963267948965]	[-2.6437535045869804, 2.854215201395363, 0.10000000149011612, 1.5707963267948966]	Left	[-384.00000000000273, 19.200000000000067]	0.24
18	[-2.6006903088949946, 2.8633518633670723, 0.10000000149011612, 1.5707963267948966]	[-2.3437535045869806, 2.854215201395363, 0.10000000149011612, 1.7707963267948965]	Right	[-495.37714686624776, 21.807385468955186]	0.24
19	[-2.4006903088949945, 2.8633518633670723, 0.10000000149011612, 1.3707963267948966]	[-2.6006903088949946, 2.8633518633670723, 0.10000000149011612, 1.5707963267948966]	Left	[-288.69764275050863, 16.64781478274216]	0.24
20	[-2.649016336164503, 3.148367975509076, 0.20000000670552254, 1.1707963267948966]	[-2.4006903088949945, 2.8633518633670723, 0.10000000149011612, 1.3707963267948966]	Right	[-9.094217140767935, 2.974913313209871]	0.24
21	[-2.329184868932792, 3.262857418552577, 0.20000000670552254, 1.1707963267948966]	[-2.649016336164503, 3.148367975509076, 0.20000000670552254, 1.1707963267948966]	Left	[-4.613954135614847, 2.118986998589906]	0.24
22	[-2.6055031671336577, 3.379682921245172, 0.20000000670552254, 1.1707963267948966]	[-2.329184868932792, 3.262857418552577, 0.20000000670552254, 1.1707963267948966]	Right	[-17.328519855595697, 4.078649171156043]	0.24
23	[-2.3511956667175236, 3.4675902317039613, 0.20000000670552254, 1.3707963267948966]	[-2.6055031671336577, 3.379682921245172, 0.20000000670552254, 1.1707963267948966]	Left	[-22.641509433962266, 4.662172139314868]	0.24
