i	f_sup	f_swg	f_swg_id	traj_params	h_max
364	[-2.0239847385543817, 8.44455615914616, 0.7000000365078449, 0.9707963267948967]	[-1.9293387584847943, 8.154828462063765, 0.7000000365078449, 1.1707963267948966]	Right	[-27.788737946740888, 5.164996459715268]	0.24
365	[-2.1596040069855156, 8.252183047640928, 0.7000000365078449, 0.9707963267948967]	[-1.9293387584847943, 8.154828462063765, 0.7000000365078449, 1.1707963267948966]	Right	[-385.28256406920235, 19.23203737273912]	0.24
366	[-2.1511384887624487, 8.400602503916764, 0.7000000365078449, 1.3707963267948966]	[-1.9293387584847943, 8.154828462063765, 0.7000000365078449, 1.1707963267948966]	Right	[-85.84335604289197, 9.077974542879941]	0.24
367	[-2.1050854390623046, 8.381131586801331, 0.7000000365078449, 1.1707963267948966]	[-1.9293387584847943, 8.154828462063765, 0.7000000365078449, 1.1707963267948966]	Right	[-117.29023470284184, 10.611249941205239]	0.24
368	[-2.1822919561471408, 8.326917624396533, 0.7000000365078449, 1.3707963267948966]	[-1.9293387584847943, 8.154828462063765, 0.7000000365078449, 1.1707963267948966]	Right	[-306.7157914643445, 17.159462689891274]	0.24
369	[-2.1135509572853715, 8.232712130525496, 0.7000000365078449, 1.3707963267948966]	[-1.9293387584847943, 8.154828462063765, 0.7000000365078449, 1.1707963267948966]	Right	[-213.64942928409988, 14.321433312093307]	0.24
370	[-2.0434556556698142, 8.398503109446015, 0.7000000365078449, 1.3707963267948966]	[-1.9293387584847943, 8.154828462063765, 0.7000000365078449, 1.1707963267948966]	Right	[-50.49149673554544, 6.962171849798281]	0.24
371	[-2.1822919561471408, 8.326917624396533, 0.7000000365078449, 1.1707963267948966]	[-1.9293387584847943, 8.154828462063765, 0.7000000365078449, 1.1707963267948966]	Right	[-306.7157914643445, 17.159462689891274]	0.24
372	[-2.0239847385543817, 8.44455615914616, 0.7000000365078449, 1.1707963267948966]	[-1.9293387584847943, 8.154828462063765, 0.7000000365078449, 1.1707963267948966]	Right	[-27.788737946740888, 5.164996459715268]	0.24
373	[-2.120095928519868, 8.332831520172638, 0.7000000365078449, 1.3707963267948966]	[-1.9287725142500118, 8.143370835195187, 0.7000000365078449, 1.1707963267948966]	Right	[-24.19258506861582, 4.819220026712952]	0.24
374	[-1.8869994439072615, 8.224360192803399, 0.7000000365078449, 1.5707963267948966]	[-2.120095928519868, 8.332831520172638, 0.7000000365078449, 1.3707963267948966]	Left	[-115.60324095963378, 10.534662373386649]	0.24
375	[-2.1369994439072615, 8.3643601928034, 0.7000000365078449, 1.3707963267948966]	[-1.8869994439072615, 8.224360192803399, 0.7000000365078449, 1.5707963267948966]	Right	[-750.1253938267948, 26.835058749213182]	0.24
376	[-2.1869994439072613, 8.404360192803399, 0.7000000365078449, 1.7707963267948965]	[-1.8869994439072615, 8.224360192803399, 0.7000000365078449, 1.5707963267948966]	Right	[-100.07890200295292, 9.801823601903617]	0.24
377	[-2.1369994439072615, 8.404360192803399, 0.7000000365078449, 1.5707963267948966]	[-1.8869994439072615, 8.224360192803399, 0.7000000365078449, 1.5707963267948966]	Right	[-177.70933201592538, 13.061430194863362]	0.24
378	[-2.0869994439072617, 8.324360192803399, 0.7000000365078449, 1.5707963267948966]	[-1.8869994439072615, 8.224360192803399, 0.7000000365078449, 1.5707963267948966]	Right	[-822.522953349168, 28.100214148920667]	0.24
